"x","q","t","value","nu","backend"
-4,0,0,0,6,"series_reference"
-3.5,0,0,0,6,"series_reference"
-3,0,0,0,6,"series_reference"
-2.5,0,0,0,6,"series_reference"
-2,0,0,0,6,"series_reference"
-1.5,0,0,0,6,"series_reference"
-1,0,0,0,6,"series_reference"
-0.5,0,0,0,6,"series_reference"
0,0,0,0,6,"series_reference"
0.5,0,0,0,6,"series_reference"
1,0,0,0,6,"series_reference"
1.5,0,0,0,6,"series_reference"
2,0,0,0,6,"series_reference"
2.5,0,0,0,6,"series_reference"
3,0,0,0,6,"series_reference"
3.5,0,0,0,6,"series_reference"
4,0,0,0,6,"series_reference"
-4,2.08333333333333,0,0,6,"series_reference"
-3.5,2.08333333333333,0,0,6,"series_reference"
-3,2.08333333333333,0,0,6,"series_reference"
-2.5,2.08333333333333,0,0,6,"series_reference"
-2,2.08333333333333,0,0,6,"series_reference"
-1.5,2.08333333333333,0,0,6,"series_reference"
-1,2.08333333333333,0,0,6,"series_reference"
-0.5,2.08333333333333,0,0,6,"series_reference"
0,2.08333333333333,0,0,6,"series_reference"
0.5,2.08333333333333,0,0,6,"series_reference"
1,2.08333333333333,0,0,6,"series_reference"
1.5,2.08333333333333,0,0,6,"series_reference"
2,2.08333333333333,0,0,6,"series_reference"
2.5,2.08333333333333,0,0,6,"series_reference"
3,2.08333333333333,0,0,6,"series_reference"
3.5,2.08333333333333,0,0,6,"series_reference"
4,2.08333333333333,0,0,6,"series_reference"
-4,4.16666666666667,0,0,6,"series_reference"
-3.5,4.16666666666667,0,0,6,"series_reference"
-3,4.16666666666667,0,0,6,"series_reference"
-2.5,4.16666666666667,0,0,6,"series_reference"
-2,4.16666666666667,0,0,6,"series_reference"
-1.5,4.16666666666667,0,0,6,"series_reference"
-1,4.16666666666667,0,0,6,"series_reference"
-0.5,4.16666666666667,0,0,6,"series_reference"
0,4.16666666666667,0,0,6,"series_reference"
0.5,4.16666666666667,0,0,6,"series_reference"
1,4.16666666666667,0,0,6,"series_reference"
1.5,4.16666666666667,0,0,6,"series_reference"
2,4.16666666666667,0,0,6,"series_reference"
2.5,4.16666666666667,0,0,6,"series_reference"
3,4.16666666666667,0,0,6,"series_reference"
3.5,4.16666666666667,0,0,6,"series_reference"
4,4.16666666666667,0,0,6,"series_reference"
-4,6.25,0,0,6,"series_reference"
-3.5,6.25,0,0,6,"series_reference"
-3,6.25,0,0,6,"series_reference"
-2.5,6.25,0,0,6,"series_reference"
-2,6.25,0,0,6,"series_reference"
-1.5,6.25,0,0,6,"series_reference"
-1,6.25,0,0,6,"series_reference"
-0.5,6.25,0,0,6,"series_reference"
0,6.25,0,0,6,"series_reference"
0.5,6.25,0,0,6,"series_reference"
1,6.25,0,0,6,"series_reference"
1.5,6.25,0,0,6,"series_reference"
2,6.25,0,0,6,"series_reference"
2.5,6.25,0,0,6,"series_reference"
3,6.25,0,0,6,"series_reference"
3.5,6.25,0,0,6,"series_reference"
4,6.25,0,0,6,"series_reference"
-4,8.33333333333333,0,0,6,"series_reference"
-3.5,8.33333333333333,0,0,6,"series_reference"
-3,8.33333333333333,0,0,6,"series_reference"
-2.5,8.33333333333333,0,0,6,"series_reference"
-2,8.33333333333333,0,0,6,"series_reference"
-1.5,8.33333333333333,0,0,6,"series_reference"
-1,8.33333333333333,0,0,6,"series_reference"
-0.5,8.33333333333333,0,0,6,"series_reference"
0,8.33333333333333,0,0,6,"series_reference"
0.5,8.33333333333333,0,0,6,"series_reference"
1,8.33333333333333,0,0,6,"series_reference"
1.5,8.33333333333333,0,0,6,"series_reference"
2,8.33333333333333,0,0,6,"series_reference"
2.5,8.33333333333333,0,0,6,"series_reference"
3,8.33333333333333,0,0,6,"series_reference"
3.5,8.33333333333333,0,0,6,"series_reference"
4,8.33333333333333,0,0,6,"series_reference"
-4,10.4166666666667,0,0,6,"series_reference"
-3.5,10.4166666666667,0,0,6,"series_reference"
-3,10.4166666666667,0,0,6,"series_reference"
-2.5,10.4166666666667,0,0,6,"series_reference"
-2,10.4166666666667,0,0,6,"series_reference"
