"x","q","t","reference","surrogate","value_error","grad_error","hess_error","region","q_low_cut","t_high_cut"
-3.75,0.25,0.1,0.0449727947973466,0.0485400677022638,0.00356727290491721,0.0427729192199311,1.23979809804761,"low_separation",5,1.875
-2.5,0.25,0.1,0.0220527995045417,0.0240609609267108,0.00200816142216904,0.0198767663069405,0.611092050116225,"low_separation",5,1.875
-1.25,0.25,0.1,0.00408604423294028,0.0112814023293197,0.00719535809637947,0.0647089601071622,2.15529369877308,"low_separation",5,1.875
0,0.25,0.1,0.000166536002700106,0.000493762094910387,0.000327226092210282,0.00623796388618024,0.125552160798246,"low_separation",5,1.875
1.25,0.25,0.1,0.00591545063878725,0.00578535357637153,0.000130097062415728,0.00326909287500137,0.040950943629644,"low_separation",5,1.875
2.5,0.25,0.1,0.0105860286987166,0.0106548715962764,6.8842897559776e-05,0.00319556601573329,0.032804529570881,"low_separation",5,1.875
3.75,0.25,0.1,0.0124520278227663,0.0133862603811058,0.000934232558339479,0.00683407406586906,0.248020341268511,"low_separation",5,1.875
-3.75,5.15,0.1,0.0394840286651182,0.0362215773751662,0.00326245128995206,0.032820703070174,0.910030359501808,"transition",5,1.875
-2.5,5.15,0.1,0.0154252733297098,0.0152329817827046,0.000192291547005109,0.00322626032703869,0.0661143632015543,"transition",5,1.875
-1.25,5.15,0.1,-0.00186975837128388,-0.00180774724814117,6.20111231427109e-05,0.000850725248118379,0.0201075490288723,"transition",5,1.875
0,5.15,0.1,-0.00432907849031881,-0.00457824206468054,0.000249163574361722,0.00236997720551481,0.0747829471234874,"transition",5,1.875
1.25,5.15,0.1,0.00271936489821562,0.00299034438791652,0.000270979489700893,0.00299408120349437,0.0847948435038694,"transition",5,1.875
2.5,5.15,0.1,0.00906273205798596,0.00902101507628121,4.17169817047477e-05,0.000619365091623218,0.017507186782253,"transition",5,1.875
3.75,5.15,0.1,0.0119244287633499,0.0119943106894168,6.9881926066849e-05,9.42314269708624e-05,0.00423613420288911,"transition",5,1.875
-3.75,10.05,0.1,0.0341011217439054,0.0341039599485544,2.83820464903883e-06,0.00232951621018768,0.0649712986546597,"interior_stable",5,1.875
-2.5,10.05,0.1,0.00939925071385517,0.00895914460601575,0.000440106107839422,0.00410638878877016,0.128240094094752,"interior_stable",5,1.875
-1.25,10.05,0.1,-0.00671947786293419,-0.00675018497608185,3.07071131476558e-05,0.000515781130381162,0.00975012250642807,"interior_stable",5,1.875
0,10.05,0.1,-0.00794782243344026,-0.00827177596686124,0.000323953533420972,0.00303113686763631,0.0962750306630115,"interior_stable",5,1.875
1.25,10.05,0.1,-0.000193704552040541,-0.000147837050875434,4.58675011651069e-05,0.000623559232985166,0.0119577263749454,"interior_stable",5,1.875
2.5,10.05,0.1,0.00744436313266264,0.00748717309267691,4.28099600142699e-05,0.000561970795804591,0.0124767584612997,"interior_stable",5,1.875
3.75,10.05,0.1,0.0113146541892098,0.0113983434951436,8.36893059337936e-05,0.000912233263828181,0.0234895442526216,"interior_stable",5,1.875
-3.75,14.95,0.1,0.028858149767035,0.0266887682072162,0.00216938155981883,0.0218274411773526,0.607045443669156,"interior_stable",5,1.875
-2.5,14.95,0.1,0.00397675102892228,0.00316377930083351,0.000812971728088772,0.00755667202949109,0.244930797894368,"interior_stable",5,1.875
-1.25,14.95,0.1,-0.010694693172916,-0.0106454978645029,4.91953084130973e-05,0.000414520008601388,0.0195095939134674,"interior_stable",5,1.875
0,14.95,0.1,-0.0109251471289144,-0.0110879676007962,0.000162820471881832,0.00156982893566315,0.0477669256816527,"interior_stable",5,1.875
1.25,14.95,0.1,-0.00283434831527849,-0.00286392736507667,2.95790497981756e-05,0.00045263936620713,0.0153776809033381,"interior_stable",5,1.875
2.5,14.95,0.1,0.00576409009599103,0.00577989261123979,1.58025152487635e-05,0.000378419894254548,0.00700855544537526,"interior_stable",5,1.875
3.75,14.95,0.1,0.0106231409372035,0.0106840275031876,6.08865659840752e-05,0.00121951834268155,0.0260572619524107,"interior_stable",5,1.875
-3.75,19.85,0.1,0.0237871826392921,0.0221087265621852,0.00167845607710692,0.0172105872029829,0.475652990760724,"interior_stable",5,1.875
-2.5,19.85,0.1,-0.00086085450408422,-0.00120907519272419,0.000348220688639971,0.00340593567849768,0.107555606509678,"interior_stable",5,1.875
-1.25,19.85,0.1,-0.0139791613253265,-0.0139048827962004,7.42785291260924e-05,0.000774589498597225,0.0287275868322189,"interior_stable",5,1.875
0,19.85,0.1,-0.013419112164838,-0.0134987301515741,7.96179867361031e-05,0.00078342074633369,0.0231803473515906,"interior_stable",5,1.875
1.25,19.85,0.1,-0.00522308213784071,-0.00523806321626289,1.49810784221749e-05,0.000375131420460139,0.0109820086028348,"interior_stable",5,1.875
2.5,19.85,0.1,0.00405267367479514,0.00401644168199958,3.62319927955553e-05,9.0102565084079e-05,0.00928280756840367,"interior_stable",5,1.875
3.75,19.85,0.1,0.0098522228532153,0.00989425103781773,4.20281846024231e-05,0.00126935398929576,0.0242030553673851,"interior_stable",5,1.875
-3.75,24.75,0.1,0.018917065227959,0.0173054591451101,0.00161160608284881,0.0165237624757971,0.469071777466809,"interior_stable",5,1.875
-2.5,24.75,0.1,-0.0051472669490253,-0.00534987207366262,0.000202605124637316,0.00213300174000318,0.0654854956382003,"interior_stable",5,1.875
-1.25,24.75,0.1,-0.0167162735872374,-0.0166018496208421,0.000114423966395317,0.00119291678270563,0.0407893246297231,"interior_stable",5,1.875
0,24.75,0.1,-0.0155397331677912,-0.015534049232118,5.68393567317894e-06,6.85178635345507e-05,0.00329189496110846,"interior_stable",5,1.875
1.25,24.75,0.1,-0.00738405527787095,-0.00735988743153672,2.41678463342269e-05,8.2742763568704e-05,0.00282013207442382,"interior_stable",5,1.875
2.5,24.75,0.1,0.00233694019539263,0.00226868738805249,6.82528073401431e-05,0.000393559359435987,0.0185110650901229,"interior_stable",5,1.875
3.75,24.75,0.1,0.00900608939701985,0.00903600496245972,2.99155654398704e-05,0.00116253853885136,0.0205537413839479,"interior_stable",5,1.875
-3.75,0.25,0.56,0.88989174368243,0.896456929253494,0.00656518557106422,0.0566333089076128,0.587171764591693,"low_separation",5,1.875
-2.5,0.25,0.56,0.479551943185493,0.481881446193612,0.00232950300811913,0.0155167253594934,0.207087347585191,"low_separation",5,1.875
-1.25,0.25,0.56,0.131098810708953,0.14031050736919,0.00921169666023636,0.0527680861988495,0.651588518285406,"low_separation",5,1.875
0,0.25,0.56,0.0208427506323123,0.0217535092358161,0.000910758603503752,0.0125497741530245,0.0673013791238145,"low_separation",5,1.875
1.25,0.25,0.56,0.153843590859454,0.152992125674071,0.000851465185383066,0.00863716789790067,0.0395914838618507,"low_separation",5,1.875
2.5,0.25,0.56,0.292116788599083,0.292624144965361,0.000507356366277689,0.00991416241649786,0.0425884620941005,"low_separation",5,1.875
3.75,0.25,0.56,0.35280027663112,0.355731087067889,0.00293081043676874,0.00982408636430375,0.152567638643193,"low_separation",5,1.875
-3.75,5.15,0.56,0.761509386789913,0.758866500331919,0.00264288645799393,0.0148051674894559,0.22293017261782,"transition",5,1.875
-2.5,5.15,0.56,0.303306803189504,0.30332946116253,2.26579730257526e-05,0.00240623108411414,0.031574175299423,"transition",5,1.875
-1.25,5.15,0.56,-0.0638225712465188,-0.0635578266567625,0.000264744589756269,0.000946069616221091,0.016705123539905,"transition",5,1.875
0,5.15,0.56,-0.13953105550001,-0.139758913881057,0.000227858381047136,0.0022784892303602,0.019900665623098,"transition",5,1.875
1.25,5.15,0.56,0.0465619393325949,0.0464531220412953,0.00010881729129962,0.00296121267887821,0.0160484860828862,"transition",5,1.875
2.5,5.15,0.56,0.241123120882208,0.241320040769307,0.000196919887098607,0.00390005296544396,0.0143415152355561,"transition",5,1.875
3.75,5.15,0.56,0.334968968456538,0.336159176412859,0.00119020795632052,0.00345967395602191,0.0496886969421611,"transition",5,1.875
-3.75,10.05,0.56,0.63532959948644,0.63643864781604,0.00110904832959957,0.0122102836604786,0.0879631201634927,"interior_stable",5,1.875
-2.5,10.05,0.56,0.142537526918127,0.142206813788129,0.000330713129997773,0.00180069383032333,0.0273316292821972,"interior_stable",5,1.875
-1.25,10.05,0.56,-0.220047706234893,-0.21990737466834,0.000140331566553548,0.00114287423164761,0.00351960081607479,"interior_stable",5,1.875
0,10.05,0.56,-0.263300496358058,-0.263626289880754,0.00032579352269585,0.00189906482115023,0.0262422026133055,"interior_stable",5,1.875
1.25,10.05,0.56,-0.0490181916607499,-0.049088901459314,7.07097985640226e-05,0.000927560886922518,0.0048272134465857,"interior_stable",5,1.875
2.5,10.05,0.56,0.187457916440483,0.187532170420138,7.42539796541042e-05,0.000993160197841271,0.00631077466090748,"interior_stable",5,1.875
3.75,10.05,0.56,0.314429941872986,0.314779686161832,0.000349744288846821,0.00146475095338373,0.0162786035427756,"interior_stable",5,1.875
-3.75,14.95,0.56,0.512069490307828,0.510242840765451,0.00182664954237677,0.00682742115984884,0.119229568989604,"interior_stable",5,1.875
-2.5,14.95,0.56,-0.00267669627798073,-0.00356553208116424,0.000888835803183512,0.00439917523819514,0.0646381146180882,"interior_stable",5,1.875
-1.25,14.95,0.56,-0.346254535609629,-0.346103513609895,0.000151021999733492,0.00106635645180437,0.0101513559009904,"interior_stable",5,1.875
0,14.95,0.56,-0.361735202584282,-0.361866995424925,0.00013179284064313,0.000660983697226365,0.0121487771391082,"interior_stable",5,1.875
1.25,14.95,0.56,-0.133942947521375,-0.133895391320087,4.75562012883235e-05,0.000889280530696667,0.00612790682393134,"interior_stable",5,1.875
2.5,14.95,0.56,0.132285027374,0.13218232375362,0.000102703620380118,0.00125066643724578,0.00349440379399839,"interior_stable",5,1.875
3.75,14.95,0.56,0.291227272304996,0.290933435481644,0.000293836823351545,0.000543118183230395,0.0139887606496263,"interior_stable",5,1.875
