"method","region","mean_value_error","max_value_error","mean_grad_error","max_grad_error","mean_hess_error","max_hess_error"
"spline","interior_stable",0.000517713268482938,0.00215755946637758,0.00333430421439431,0.0203572447587873,0.53976025891242,40.0436019266318
"spline","transition",0.00070299640240975,0.00797151882970493,0.00595420389612327,0.0904672421382458,0.0779587517083737,0.862618746130876
"spline","low_separation",0.00203905899389372,0.0124015477617081,0.0246360009002538,0.146647504262684,0.242019054788908,1.34246908291903
"spline","high_dependence",0.00342033252385652,0.0995545530352895,0.0488156733380184,0.577746576786323,0.14865047332783,1.30825613367775
"spline","high_t_low_q",0.0223010523241381,0.0639427846995821,0.672443936714544,1.66449671686772,2.04150668866212,4.09087352491346
"chebyshev","interior_stable",0.000398144575795299,0.00347741054659834,0.00265563058403808,0.0218274411773526,0.525847339139074,40.0886433035847
"chebyshev","transition",0.00104825226862874,0.0105614734832129,0.00557021598731734,0.0502956564425192,0.0819497116209017,0.910030359501808
"chebyshev","low_separation",0.00459973917622708,0.0202866625623284,0.0397194029652487,0.26787060916621,0.475951348667021,2.15529369877308
"chebyshev","high_dependence",0.00602925920711232,0.166674795501918,0.0509747920353821,0.604929751179165,0.293280369118446,6.24041677450307
"chebyshev","high_t_low_q",0.0283839686397247,0.100325979564471,0.691500782465939,1.63583650458917,2.40070719100977,3.9555107873808
