"x","q","t","region","q_low_cut","t_high_cut","series_reference","geomodels_reference","abs_diff","rel_diff"
-3.75,0.25,0.1,"low_separation",5,1.875,0.0449727947973466,0.0449727947974307,8.40438829641244e-14,8.40438829641244e-14
-2.5,0.25,0.1,"low_separation",5,1.875,0.0220527995045417,0.0220527995046235,8.18095591270662e-14,8.18095591270662e-14
-1.25,0.25,0.1,"low_separation",5,1.875,0.00408604423294028,0.00408604423361193,6.71657174322604e-13,6.71657174322604e-13
0,0.25,0.1,"low_separation",5,1.875,0.000166536002700106,0.000166536002859458,1.5935169850323e-13,1.5935169850323e-13
1.25,0.25,0.1,"low_separation",5,1.875,0.00591545063878725,0.00591545063880274,1.5480672299617e-14,1.5480672299617e-14
2.5,0.25,0.1,"low_separation",5,1.875,0.0105860286987166,0.0105860286987525,3.58879592710082e-14,3.58879592710082e-14
3.75,0.25,0.1,"low_separation",5,1.875,0.0124520278227663,0.012452027822815,4.86694018420053e-14,4.86694018420053e-14
-3.75,5.15,0.1,"transition",5,1.875,0.0394840286651182,0.039484028665244,1.25718879750991e-13,1.25718879750991e-13
-2.5,5.15,0.1,"transition",5,1.875,0.0154252733297098,0.015425273329777,6.72240041410532e-14,6.72240041410532e-14
-1.25,5.15,0.1,"transition",5,1.875,-0.00186975837128388,-0.00186975837085638,4.2749831452582e-13,4.2749831452582e-13
0,5.15,0.1,"transition",5,1.875,-0.00432907849031881,-0.00432907849023996,7.88535903240017e-14,7.88535903240017e-14
1.25,5.15,0.1,"transition",5,1.875,0.00271936489821562,0.00271936489890245,6.86832535290449e-13,6.86832535290449e-13
2.5,5.15,0.1,"transition",5,1.875,0.00906273205798596,0.00906273205801408,2.8123336992536e-14,2.8123336992536e-14
3.75,5.15,0.1,"transition",5,1.875,0.0119244287633499,0.0119244287633946,4.46934156350665e-14,4.46934156350665e-14
-3.75,10.05,0.1,"interior_stable",5,1.875,0.0341011217439054,0.0341011217440097,1.04333208739149e-13,1.04333208739149e-13
-2.5,10.05,0.1,"interior_stable",5,1.875,0.00939925071385517,0.00939925071389638,4.1210090895305e-14,4.1210090895305e-14
-1.25,10.05,0.1,"interior_stable",5,1.875,-0.00671947786293419,-0.00671947786265904,2.75147959971633e-13,2.75147959971633e-13
0,10.05,0.1,"interior_stable",5,1.875,-0.00794782243344026,-0.00794782243339704,4.32223701274381e-14,4.32223701274381e-14
1.25,10.05,0.1,"interior_stable",5,1.875,-0.000193704552040541,-0.000193704551615673,4.2486847373624e-13,4.2486847373624e-13
2.5,10.05,0.1,"interior_stable",5,1.875,0.00744436313266264,0.00744436313268446,2.18158824338843e-14,2.18158824338843e-14
3.75,10.05,0.1,"interior_stable",5,1.875,0.0113146541892098,0.0113146541892505,4.07104905342237e-14,4.07104905342237e-14
