"x","q","t","reference","surrogate","value_error","grad_error","hess_error","region","q_low_cut","t_high_cut"
-3.75,0.25,0.1,0.0449727947973466,0.0414974335888983,0.00347536120844835,0.0137031237363323,0.396741001331137,"low_separation",5,1.875
-2.5,0.25,0.1,0.0220527995045417,0.0203658160886621,0.00168698341587963,0.00496925716637266,0.230279044974711,"low_separation",5,1.875
-1.25,0.25,0.1,0.00408604423294028,0.00516839633117788,0.00108235209823761,0.00327478411833917,0.167279591586173,"low_separation",5,1.875
0,0.25,0.1,0.000166536002700106,0.00188645131275602,0.00171991531005592,0.00308147274696506,0.270598320318297,"low_separation",5,1.875
1.25,0.25,0.1,0.00591545063878725,0.00462894352800868,0.00128650711077858,0.0012741227623018,0.20578140986165,"low_separation",5,1.875
2.5,0.25,0.1,0.0105860286987166,0.0102587554518172,0.000327273246899434,0.00266839202065342,0.0582460474723715,"low_separation",5,1.875
3.75,0.25,0.1,0.0124520278227663,0.0121576264338834,0.000294401388882936,0.00230082194099337,0.0521774006767492,"low_separation",5,1.875
-3.75,5.15,0.1,0.0394840286651182,0.0385369341655983,0.000947094499519914,0.00857320668614396,0.0418245674179759,"transition",5,1.875
-2.5,5.15,0.1,0.0154252733297098,0.0140332581870065,0.00139201514270328,0.00528000368853119,0.197785104424868,"transition",5,1.875
-1.25,5.15,0.1,-0.00186975837128388,-0.00158725509889603,0.000282503272387845,0.00174295950060809,0.040499957069554,"transition",5,1.875
0,5.15,0.1,-0.00432907849031881,-0.00419078719110246,0.000138291299216351,0.00103932985997163,0.0243013493335616,"transition",5,1.875
1.25,5.15,0.1,0.00271936489821562,0.00214735456134601,0.000572010336869609,0.00209970397140376,0.0952626218600624,"transition",5,1.875
2.5,5.15,0.1,0.00906273205798596,0.00864023166799799,0.000422500389987967,0.0025689117981448,0.0729126666661949,"transition",5,1.875
3.75,5.15,0.1,0.0119244287633499,0.0114673312452857,0.000457097518064237,0.00217707743484273,0.0770754833355746,"transition",5,1.875
-3.75,10.05,0.1,0.0341011217439054,0.0323178709941289,0.0017832507497765,0.00766729865440243,0.182974419739757,"interior_stable",5,1.875
-2.5,10.05,0.1,0.00939925071385517,0.00792859332791727,0.00147065738593791,0.00522645693633844,0.219983661522524,"interior_stable",5,1.875
-1.25,10.05,0.1,-0.00671947786293419,-0.00650967100567206,0.000209806857262127,0.00162260303392067,0.0258842844271094,"interior_stable",5,1.875
0,10.05,0.1,-0.00794782243344026,-0.00791440808712197,3.34143463182959e-05,0.00120003630924727,0.00364029073478474,"interior_stable",5,1.875
1.25,10.05,0.1,-0.000193704552040541,-0.000750049376265929,0.000556344824225388,0.00235566887178783,0.0924937017377703,"interior_stable",5,1.875
2.5,10.05,0.1,0.00744436313266264,0.00700849702865508,0.000435866104007564,0.00272444225601088,0.0747227174223269,"interior_stable",5,1.875
3.75,10.05,0.1,0.0113146541892098,0.0108547611368845,0.000459893052325293,0.00225820995482615,0.077352948673237,"interior_stable",5,1.875
-3.75,14.95,0.1,0.028858149767035,0.0268413000839168,0.00201684968311818,0.00749175462457554,0.240015558807128,"interior_stable",5,1.875
-2.5,14.95,0.1,0.00397675102892228,0.00267465176045368,0.0013020992684686,0.00510296164805776,0.202783662362887,"interior_stable",5,1.875
-1.25,14.95,0.1,-0.010694693172916,-0.0105266775242414,0.000168015648674609,0.00165778599948869,0.0181092717685222,"interior_stable",5,1.875
0,14.95,0.1,-0.0109251471289144,-0.0109854649445421,6.03178156277084e-05,0.00147479533099251,0.0138170534135377,"interior_stable",5,1.875
1.25,14.95,0.1,-0.00283434831527849,-0.00334841022178326,0.000514061906504766,0.00259564625615096,0.0867625834103129,"interior_stable",5,1.875
2.5,14.95,0.1,0.00576409009599103,0.00530042807778722,0.000463662018203812,0.00284009377180667,0.078785613113138,"interior_stable",5,1.875
3.75,14.95,0.1,0.0106231409372035,0.0101658919831302,0.000457248954073322,0.00235490394492464,0.07687268068321,"interior_stable",5,1.875
-3.75,19.85,0.1,0.0237871826392921,0.0217693511730368,0.00201783146625534,0.00801833845554472,0.259514156369229,"interior_stable",5,1.875
-2.5,19.85,0.1,-0.00086085450408422,-0.00202259921262705,0.00116174470854283,0.00485151956884957,0.187342700611142,"interior_stable",5,1.875
-1.25,19.85,0.1,-0.0139791613253265,-0.013868742924803,0.000110418400523506,0.00145460536056574,0.00962140897930296,"interior_stable",5,1.875
0,19.85,0.1,-0.013419112164838,-0.0135528211666555,0.000133709001817564,0.00154002875205989,0.0263043538362639,"interior_stable",5,1.875
1.25,19.85,0.1,-0.00522308213784071,-0.00571709873218927,0.000494016594348552,0.00272678002998886,0.0846848339154757,"interior_stable",5,1.875
2.5,19.85,0.1,0.00405267367479514,0.00357310245895744,0.000479571215837696,0.00296118852743574,0.0814059854811234,"interior_stable",5,1.875
3.75,19.85,0.1,0.0098522228532153,0.00939749163644794,0.000454731216767368,0.00247231722360259,0.0767513113903707,"interior_stable",5,1.875
-3.75,24.75,0.1,0.018917065227959,0.0167595057615814,0.00215755946637758,0.00802723975640215,0.296662632035471,"interior_stable",5,1.875
-2.5,24.75,0.1,-0.0051472669490253,-0.00616921036440011,0.00102194341537481,0.004458212406215,0.169599369017501,"interior_stable",5,1.875
-1.25,24.75,0.1,-0.0167162735872374,-0.0166669775308477,4.92960563896992e-05,0.00118584436634747,0.00216632534133039,"interior_stable",5,1.875
0,24.75,0.1,-0.0155397331677912,-0.0157349054895417,0.000195172321750467,0.00146957316364473,0.03597396312665,"interior_stable",5,1.875
1.25,24.75,0.1,-0.00738405527787095,-0.00787052051785126,0.000486465239980312,0.00276201759977157,0.0843565136970222,"interior_stable",5,1.875
2.5,24.75,0.1,0.00233694019539263,0.00185147999547046,0.000485460199922164,0.00308379645079965,0.0828829208199172,"interior_stable",5,1.875
3.75,24.75,0.1,0.00900608939701985,0.00854627073629516,0.000459818660724691,0.00259940787247916,0.0781221968619908,"interior_stable",5,1.875
-3.75,0.25,0.56,0.88989174368243,0.888596442413445,0.00129530126898525,0.0517711899677452,0.266927053551914,"low_separation",5,1.875
