"benchmark","replicate","clip_share_any","clip_share_x","clip_share_q","clip_share_t","n_points","total_weight"
"Example 1 reduced",1,0.0625,0.00833333333333333,0.0583333333333333,0,240,240
"Example 1 reduced",2,0.0333333333333333,0.00833333333333333,0.025,0,240,240
"Example 1 reduced",3,0.0416666666666667,0,0.0416666666666667,0,240,240
"Example 1 reduced",4,0.0375,0,0.0375,0,240,240
"Example 1 reduced",5,0.0416666666666667,0.0125,0.0291666666666667,0,240,240
"Example 1 reduced",6,0.0208333333333333,0,0.0208333333333333,0,240,240
"Example 1 reduced",7,0.0375,0.00833333333333333,0.0291666666666667,0,240,240
"Example 1 reduced",8,0.0541666666666667,0.0166666666666667,0.0375,0,240,240
"Example 1 reduced",9,0.05,0.0166666666666667,0.0333333333333333,0,240,240
"Example 1 reduced",10,0.05,0.00833333333333333,0.0416666666666667,0,240,240
"Example 1 reduced",11,0.0333333333333333,0,0.0333333333333333,0,240,240
"Example 1 reduced",12,0.05,0.00833333333333333,0.05,0,240,240
"Example 1 reduced",13,0.0541666666666667,0.00833333333333333,0.0458333333333333,0,240,240
"Example 1 reduced",14,0.0375,0.00833333333333333,0.0291666666666667,0,240,240
"Example 1 reduced",15,0.0458333333333333,0,0.0458333333333333,0,240,240
"Example 1 reduced",18,0.025,0,0.025,0,240,240
"Example 1 reduced",19,0.0166666666666667,0.00416666666666667,0.0125,0,240,240
"Example 1 reduced",20,0.0583333333333333,0.00833333333333333,0.05,0,240,240
"Example 1 reduced",21,0.0125,0,0.0125,0,240,240
"Example 1 reduced",22,0.0541666666666667,0.00833333333333333,0.0458333333333333,0,240,240
"Example 1 reduced",23,0.0541666666666667,0.00833333333333333,0.0458333333333333,0,240,240
"Example 1 reduced",24,0.0291666666666667,0.0125,0.0166666666666667,0,240,240
"Example 1 reduced",25,0.0458333333333333,0,0.0458333333333333,0,240,240
"Example 1 reduced",26,0.0458333333333333,0.0166666666666667,0.0291666666666667,0,240,240
"Example 1 reduced",27,0.0375,0.00833333333333333,0.0291666666666667,0,240,240
"Example 1 reduced",28,0.0458333333333333,0,0.0458333333333333,0,240,240
"Example 1 reduced",29,0.0541666666666667,0.0291666666666667,0.025,0,240,240
"Example 1 reduced",30,0.0333333333333333,0,0.0333333333333333,0,240,240
"Example 1 reduced",31,0.0416666666666667,0,0.0416666666666667,0,240,240
"Example 1 reduced",32,0.0666666666666667,0.0125,0.0625,0,240,240
"Example 1 reduced",33,0.0291666666666667,0.00416666666666667,0.025,0,240,240
"Example 1 reduced",34,0.0375,0.00833333333333333,0.0291666666666667,0,240,240
"Example 1 reduced",35,0.0375,0.00416666666666667,0.0333333333333333,0,240,240
"Example 1 reduced",36,0.0458333333333333,0.00833333333333333,0.0375,0,240,240
"Example 1 reduced",37,0.0458333333333333,0,0.0458333333333333,0,240,240
"Example 1 reduced",38,0.0416666666666667,0.025,0.025,0,240,240
"Example 1 reduced",39,0.0458333333333333,0.00833333333333333,0.0375,0,240,240
"Example 1 reduced",40,0.0333333333333333,0.00833333333333333,0.0333333333333333,0,240,240
