"benchmark","replicate","seed","method","reference_converged","reference_convergence_code","reference_optimization_time","reference_objective","weighted_mae","weighted_rmse","max_abs_err","stress_weight_share","total_weight","n_pairs","theta_ref_1","theta_ref_2","theta_ref_3","theta_ref_4"
"reduced",1,20260410,"spline",TRUE,0,2.52,-169.234125439432,0.00445736865745727,0.0190446661803125,0.149275873830872,0,240,240,6.96815258409894,0.306764056965461,NA,NA
"reduced",1,20260410,"chebyshev",TRUE,0,2.52,-169.234125439432,0.00538376442009284,0.0192418005570787,0.149237487350032,0,240,240,6.96815258409894,0.306764056965461,NA,NA
"reduced",2,20260411,"spline",TRUE,0,2.67,-183.782442739591,0.00208195221013224,0.0118984867203378,0.165795287931968,0,240,240,7.5353115714901,0.346400829334608,NA,NA
"reduced",2,20260411,"chebyshev",TRUE,0,2.67,-183.782442739591,0.00277712368134348,0.0122387693252184,0.165949272697835,0,240,240,7.5353115714901,0.346400829334608,NA,NA
"reduced",3,20260412,"spline",TRUE,0,1.14,-160.195055214242,0.00133923502712825,0.00760695962086783,0.110394812474766,0,240,240,6.80274201778614,0.25672600516822,NA,NA
"reduced",3,20260412,"chebyshev",TRUE,0,1.14,-160.195055214242,0.00188900618729884,0.00782754322460303,0.110340513181356,0,240,240,6.80274201778614,0.25672600516822,NA,NA
"reduced",4,20260413,"spline",TRUE,0,10.98,-150.304593005337,0.00316450839514739,0.0161269321284657,0.130936876466167,0,240,240,6.21356454619411,0.329454667227945,NA,NA
"reduced",4,20260413,"chebyshev",TRUE,0,10.98,-150.304593005337,0.00399096483949644,0.0164227855640027,0.131672715603845,0,240,240,6.21356454619411,0.329454667227945,NA,NA
"reduced",5,20260414,"spline",TRUE,0,0.390000000000001,-161.727902248039,0.000117412023725971,0.000282033666628107,0.00156283567720761,0,240,240,7.12466451943512,0.05,NA,NA
"reduced",5,20260414,"chebyshev",TRUE,0,0.390000000000001,-161.727902248039,0.00134026188975981,0.00237159906825259,0.00836153719041876,0,240,240,7.12466451943512,0.05,NA,NA
"reduced",6,20260415,"spline",TRUE,0,3.24,-175.049552611007,0.000711087863816234,0.00130836086008783,0.0106464755696809,0,240,240,7.38902885101526,0.199061517776096,NA,NA
"reduced",6,20260415,"chebyshev",TRUE,0,3.24,-175.049552611007,0.00135387015027252,0.00265700478183532,0.0130262301695068,0,240,240,7.38902885101526,0.199061517776096,NA,NA
"reduced",7,20260416,"spline",TRUE,0,5.38,-117.607614513716,0.00272200428850949,0.0129530977388175,0.118493440265536,0,240,240,5.42858081005822,0.263065366641633,NA,NA
"reduced",7,20260416,"chebyshev",TRUE,0,5.38,-117.607614513716,0.00324602144192622,0.0128890207634878,0.110489459713976,0,240,240,5.42858081005822,0.263065366641633,NA,NA
"reduced",8,20260417,"spline",TRUE,0,0.530000000000001,-119.472278222515,0.000273069920368885,0.000953184550748576,0.00910128398563925,0,240,240,5.64285347158032,0.0548730282638091,NA,NA
"reduced",8,20260417,"chebyshev",TRUE,0,0.530000000000001,-119.472278222515,0.0015128364713265,0.00288707753416033,0.0112087231041508,0,240,240,5.64285347158032,0.0548730282638091,NA,NA
"reduced",9,20260418,"spline",TRUE,0,2.05,-121.038964304279,0.00702553887413216,0.0561654316818379,0.609812669436312,0,240,240,5.3653398687601,0.306151821587205,NA,NA
"reduced",9,20260418,"chebyshev",TRUE,0,2.05,-121.038964304279,0.00758241161276371,0.0536061295355217,0.580862170179479,0,240,240,5.3653398687601,0.306151821587205,NA,NA
"reduced",10,20260419,"spline",TRUE,0,0.5,-123.053956490494,0.000634172629462467,0.00149089520824467,0.0130901881807198,0,240,240,5.77964701972592,0.118765829035847,NA,NA
"reduced",10,20260419,"chebyshev",TRUE,0,0.5,-123.053956490494,0.0010502766650654,0.00240913648487332,0.0186327752919661,0,240,240,5.77964701972592,0.118765829035847,NA,NA
"reduced",11,20260420,"spline",TRUE,0,0.93,-145.020736276064,0.00278375366910394,0.0160110723976774,0.151374309299208,0,240,240,6.33213077498586,0.235970295637138,NA,NA
"reduced",11,20260420,"chebyshev",TRUE,0,0.93,-145.020736276064,0.00367909056110756,0.0161844158969296,0.151152122264988,0,240,240,6.33213077498586,0.235970295637138,NA,NA
"reduced",12,20260421,"spline",TRUE,0,1.23,-129.706912911367,0.00512372239403795,0.0268483103581441,0.226639809128345,0,240,240,5.76503757451327,0.274375076495498,NA,NA
"reduced",12,20260421,"chebyshev",TRUE,0,1.23,-129.706912911367,0.00567505188186405,0.027014309014531,0.228028516795472,0,240,240,5.76503757451327,0.274375076495498,NA,NA
"reduced",13,20260422,"spline",TRUE,0,6.22,-120.317579670723,0.00357934999031854,0.0202001116119867,0.203823492675421,0.00833333333333333,240,240,5.43252719195568,0.300644854254296,NA,NA
"reduced",13,20260422,"chebyshev",TRUE,0,6.22,-120.317579670723,0.00441132856483799,0.0204111256173057,0.204255672347227,0.00833333333333333,240,240,5.43252719195568,0.300644854254296,NA,NA
"reduced",14,20260423,"spline",TRUE,0,4.01,-145.430712508364,0.0022132132457238,0.0134831942957608,0.195096904249925,0,240,240,5.9403922661163,0.440445937017882,NA,NA
"reduced",14,20260423,"chebyshev",TRUE,0,4.01,-145.430712508364,0.00303740153761435,0.013684811726184,0.194992516470035,0,240,240,5.9403922661163,0.440445937017882,NA,NA
"reduced",15,20260424,"spline",TRUE,0,2.34,-162.282981294555,0.00366686737552214,0.0160779671408848,0.110214772553934,0,240,240,6.69670363798137,0.342655594949894,NA,NA
"reduced",15,20260424,"chebyshev",TRUE,0,2.34,-162.282981294555,0.00454318051402426,0.0162981059052731,0.109432964688685,0,240,240,6.69670363798137,0.342655594949894,NA,NA
"reduced",16,20260425,"spline",FALSE,52,10.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"reduced",16,20260425,"chebyshev",FALSE,52,10.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"reduced",17,20260426,"spline",FALSE,52,12.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"reduced",17,20260426,"chebyshev",FALSE,52,12.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"reduced",18,20260427,"spline",TRUE,0,2.7,-118.893839983347,0.00116406321684372,0.00455589057221379,0.0504899350992447,0,240,240,5.34992526187421,0.353321977477837,NA,NA
"reduced",18,20260427,"chebyshev",TRUE,0,2.7,-118.893839983347,0.00239002321878843,0.00568560937436964,0.0505950898005038,0,240,240,5.34992526187421,0.353321977477837,NA,NA
"reduced",19,20260428,"spline",TRUE,0,3.69,-132.864409963445,0.00448242997696584,0.0399877817791735,0.44764278480051,0,240,240,5.47311675426817,0.440455201915036,NA,NA
"reduced",19,20260428,"chebyshev",TRUE,0,3.69,-132.864409963445,0.00522214783480948,0.0400670333564685,0.447952118134926,0,240,240,5.47311675426817,0.440455201915036,NA,NA
