"replicate","method","reference_converged","method_converged","score_gap_at_reference","hessian_gap_at_reference","relative_hessian_gap_at_reference","score_gap_at_surrogate","hessian_gap_at_surrogate","relative_hessian_gap_at_surrogate"
1,"spline",TRUE,TRUE,0.0263947793266699,0.0692403001943483,0.0564666772816185,0.028477461254269,0.0582574717939614,0.0495249385207475
1,"chebyshev",TRUE,TRUE,0.0265275380551637,0.102554111566484,0.0836346738167437,0.0292399460327347,0.0817358513308867,0.0696204116710655
2,"spline",TRUE,TRUE,0.00722558953202942,0.00619187332531996,0.00699502159521287,0.00796256793307142,0.0298225555562606,0.033763553009799
2,"chebyshev",TRUE,TRUE,0.00858007614580743,0.0162717772534489,0.01838239048188,0.00939085298717991,0.0336238283102292,0.0382409011940787
3,"spline",TRUE,TRUE,0.00957770103309613,0.0526032075594669,0.0420600571234079,0.0100497031165141,0.0504569376815025,0.0406340462082518
3,"chebyshev",TRUE,TRUE,0.0129845995510094,0.0289138225510862,0.0231186858097953,0.0130207501816505,0.0204342101260466,0.0164955233711634
4,"spline",TRUE,TRUE,0.014995783146768,0.0316892408386119,0.0242118481462563,0.0152690655447188,0.036328706955818,0.0287704899015873
4,"chebyshev",TRUE,FALSE,NA,NA,NA,NA,NA,NA
5,"spline",TRUE,TRUE,0.00137421447188148,NA,NA,0.00137421398451104,NA,NA
5,"chebyshev",TRUE,TRUE,0.00898467067787665,NA,NA,0.010443984832537,NA,NA
6,"spline",TRUE,TRUE,0.00413710996612495,0.0259268924171424,0.0283907610681332,0.00442694302490311,0.022501028129008,0.0242529446487689
6,"chebyshev",TRUE,TRUE,0.0111843823483901,0.0798129052213722,0.0873976366251798,0.0118089624072972,0.0429525784637945,0.0451258530382165
7,"spline",TRUE,TRUE,0.0224650579504974,0.20964757787186,0.172071556797099,0.0224855594214591,0.108737201901583,0.106170849380456
7,"chebyshev",TRUE,TRUE,0.016986523772684,0.21235879836,0.174296833783125,0.0159137989367662,0.197005573751521,0.159945739690658
8,"spline",TRUE,TRUE,0.00118885804533318,NA,NA,0.00097080049297247,NA,NA
8,"chebyshev",TRUE,TRUE,0.00506437324719083,NA,NA,0.00666511749830802,NA,NA
9,"spline",TRUE,TRUE,0.0047091117329486,0.105987858500442,0.0879378891594075,0.00512592353718672,0.0849385604632107,0.0734761201768673
9,"chebyshev",TRUE,TRUE,0.00322322887918511,0.0706524206904438,0.0586201554350129,0.00333243187095539,0.0520134723055564,0.0446152387637656
10,"spline",TRUE,TRUE,0.00511716080606446,0.182876800103642,0.101875125858727,0.00541084101755333,0.0553582643731137,0.0334149770310969
10,"chebyshev",TRUE,TRUE,0.00494295012196942,0.050134532331424,0.0279284293482698,0.00429291988863899,0.102112801218211,0.0611949940736042
