"benchmark","replicate","seed","reference_cap","method","converged","optimization_time","fncount","grcount","criterion_value","theta_1","abs_shift_vs_cap400_1","theta_2","abs_shift_vs_cap400_2","criterion_improvement_over_cap400_pct","reference_converged","criterion_gap_exact","criterion_gap_exact_pct","abs_gap_vs_reference_1","abs_gap_vs_reference_2","theta_3","abs_shift_vs_cap400_3","theta_4","abs_shift_vs_cap400_4","abs_gap_vs_reference_3","abs_gap_vs_reference_4"
"reduced",1,20260410,400,"reference",TRUE,3.12,9,9,169.234125439432,6.96815258409894,0,0.306764056965461,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"reduced",1,20260410,700,"reference",TRUE,3.78,9,9,169.234125439432,6.96815258417644,7.75042252598723e-11,0.306764056963488,1.97308835936383e-12,1.17560193900746e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"reduced",1,20260410,900,"reference",TRUE,3.77,9,9,169.234125439432,6.96815258417644,7.75042252598723e-11,0.306764056963488,1.97308835936383e-12,1.17560193900746e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"reduced",1,20260410,400,"spline",TRUE,0.53,9,9,169.149713346277,7.01546409422591,NA,0.329515737194596,NA,NA,TRUE,0.0844120931542705,0.0498788840224079,0.0473115101269661,0.0227516802291346,NA,NA,NA,NA,NA,NA
"reduced",1,20260410,400,"chebyshev",TRUE,0.37,8,8,169.145419297759,7.01376239037454,NA,0.330231131974536,NA,NA,TRUE,0.0887061416723895,0.0524162260076424,0.0456098062756034,0.0234670750090746,NA,NA,NA,NA,NA,NA
"reduced",1,20260410,700,"spline",TRUE,0.53,9,9,169.149713346277,7.01546409422591,NA,0.329515737194596,NA,NA,TRUE,0.0844120931544694,0.0498788840225254,0.0473115100494619,0.0227516802311077,NA,NA,NA,NA,NA,NA
"reduced",1,20260410,700,"chebyshev",TRUE,0.37,8,8,169.145419297759,7.01376239037454,NA,0.330231131974536,NA,NA,TRUE,0.0887061416725885,0.0524162260077599,0.0456098061980992,0.0234670750110477,NA,NA,NA,NA,NA,NA
"reduced",1,20260410,900,"spline",TRUE,0.53,9,9,169.149713346277,7.01546409422591,NA,0.329515737194596,NA,NA,TRUE,0.0844120931544694,0.0498788840225254,0.0473115100494619,0.0227516802311077,NA,NA,NA,NA,NA,NA
"reduced",1,20260410,900,"chebyshev",TRUE,0.37,8,8,169.145419297759,7.01376239037454,NA,0.330231131974536,NA,NA,TRUE,0.0887061416725885,0.0524162260077599,0.0456098061980992,0.0234670750110477,NA,NA,NA,NA,NA,NA
"reduced",2,20260411,400,"reference",TRUE,4.12,10,10,183.782442739591,7.5353115714901,0,0.346400829334608,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"reduced",2,20260411,700,"reference",TRUE,4.19,10,10,183.782442739591,7.5353115715134,2.3297808127154e-11,0.346400829334588,2.04281036531029e-14,1.70113531561573e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"reduced",2,20260411,900,"reference",TRUE,4.14,10,10,183.782442739591,7.5353115715134,2.3297808127154e-11,0.346400829334588,2.04281036531029e-14,1.70113531561573e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"reduced",2,20260411,400,"spline",TRUE,1.13,10,10,183.751840124429,7.63453747283548,NA,0.352960167642698,NA,NA,TRUE,0.0306026151619392,0.0166515444597182,0.099225901345382,0.00655933830809013,NA,NA,NA,NA,NA,NA
"reduced",2,20260411,400,"chebyshev",TRUE,0.93,10,10,183.750944585879,7.62888486301965,NA,0.354722413661269,NA,NA,TRUE,0.031498153711766,0.0171388263439272,0.0935732915295455,0.00832158432666119,NA,NA,NA,NA,NA,NA
"reduced",2,20260411,700,"spline",TRUE,1.13,10,10,183.751840124429,7.63453747283548,NA,0.352960167642698,NA,NA,TRUE,0.0306026151622518,0.0166515444598883,0.0992259013220842,0.00655933830811056,NA,NA,NA,NA,NA,NA
"reduced",2,20260411,700,"chebyshev",TRUE,0.93,10,10,183.750944585879,7.62888486301965,NA,0.354722413661269,NA,NA,TRUE,0.0314981537120786,0.0171388263440973,0.0935732915062477,0.00832158432668162,NA,NA,NA,NA,NA,NA
"reduced",2,20260411,900,"spline",TRUE,1.13,10,10,183.751840124429,7.63453747283548,NA,0.352960167642698,NA,NA,TRUE,0.0306026151622518,0.0166515444598883,0.0992259013220842,0.00655933830811056,NA,NA,NA,NA,NA,NA
