"benchmark","reference_cap","method","n","matched_convergence_rate","mean_abs_beta_gap_vs_reference","mean_abs_delta_gap_vs_reference","mean_abs_b_gap_vs_reference","mean_exact_loss_pct","mean_time"
"reduced",400,"spline",10,1,NA,0.0301344296592534,0.00627705568541938,0.0242905582046778,1.685
"reduced",400,"chebyshev",10,0.9,NA,0.031220072459829,0.00815353419155221,0.0140826037838997,1.643
"reduced",700,"spline",10,1,NA,0.0301344296491732,0.00627705568561873,0.0242905582047066,1.685
"reduced",700,"chebyshev",10,0.9,NA,0.0312200724486288,0.00815353419177371,0.0140826037839316,1.643
"reduced",900,"spline",10,1,NA,0.0301344296491732,0.00627705568561873,0.0242905582047066,1.685
"reduced",900,"chebyshev",10,0.9,NA,0.0312200724486288,0.00815353419177371,0.0140826037839316,1.643
"practical",400,"spline",10,0.9,0.0148812080254967,0.0598669168155741,0.0278984675158206,0.149718210986958,4.646
"practical",400,"chebyshev",10,1,0.0148066511209157,0.0517755037937343,0.0291308569386544,0.132231658916312,3.08000000000002
"practical",700,"spline",10,0.9,0.0148812080185501,0.0598669168184956,0.0278984675240127,0.149718210986965,4.646
"practical",700,"chebyshev",10,1,0.0148066511147053,0.0517755037898041,0.0291308569460274,0.132231658916317,3.08000000000002
"practical",900,"spline",10,0.9,0.0148812080185501,0.0598669168184956,0.0278984675240127,0.149718210986965,4.646
"practical",900,"chebyshev",10,1,0.0148066511147053,0.0517755037898041,0.0291308569460274,0.132231658916317,3.08000000000002
