"replicate","method","reference_converged","converged","delta","b","nu","delta_gap_vs_reference","b_gap_vs_reference","nu_gap_vs_reference","delta_error_vs_truth","b_error_vs_truth","nu_error_vs_truth","criterion_gap_exact","criterion_gap_exact_pct","abs_criterion_gap_exact","abs_criterion_gap_exact_pct","optimization_time"
1,"reference",TRUE,TRUE,6.74046621404862,0.39400269729436,5,0,0,0,0.740466214048625,0.0440026972943601,0,0,0,0,0,3.88
1,"spline",TRUE,TRUE,6.77684352812283,0.428837366642585,5,0.0363773140742074,0.0348346693482249,0,0.776843528122832,0.078837366642585,0,0.23634807849092,0.142830444459492,0.23634807849092,0.142830444459492,1.03
1,"chebyshev",TRUE,TRUE,6.70114818794609,0.441441866726208,4.70021710165664,-0.0393180261025314,0.0474391694318474,-0.299782898343365,0.701148187946093,0.0914418667262076,-0.299782898343365,0.406265876966899,0.245515580860271,0.406265876966899,0.245515580860271,1.19
2,"reference",TRUE,TRUE,6.62073217805855,0.285190692705997,3,0,0,0,0.620732178058553,-0.0648093072940032,-2,0,0,0,0,3.66
2,"spline",TRUE,TRUE,6.7017346697417,0.295173446333152,3.78459942427067,0.0810024916831455,0.00998275362715478,0.784599424270669,0.701734669741699,-0.0548265536668485,-1.21540057572933,0.29257484438503,0.187471886208015,0.29257484438503,0.187471886208015,3.10999999999999
2,"chebyshev",TRUE,TRUE,6.65162205003977,0.313812459223974,3.20513821559715,0.0308898719812172,0.028621766517977,0.205138215597153,0.65162205003977,-0.0361875407760263,-1.79486178440285,0.155728046761936,0.0997851702640913,0.155728046761936,0.0997851702640913,2.67000000000002
3,"reference",TRUE,TRUE,6.66234761110842,0.36550794552756,3,0,0,0,0.662347611108422,0.0155079455275602,-2,0,0,0,0,11.14
3,"spline",TRUE,TRUE,6.82603990150257,0.397316825835535,3,0.163692290394149,0.0318088803079744,0,0.826039901502571,0.0473168258355346,-2,0.226597321434355,0.137436367604164,0.226597321434355,0.137436367604164,3.38
3,"chebyshev",TRUE,TRUE,6.79954927194112,0.396917479266144,3,0.137201660832699,0.0314095337385837,0,0.799549271941121,0.0469174792661439,-2,0.194339874047301,0.117871500866128,0.194339874047301,0.117871500866128,1.61000000000001
4,"reference",TRUE,TRUE,7.73602425102815,0.241830692235895,5,0,0,0,1.73602425102815,-0.108169307764105,0,0,0,0,0,3.05000000000001
4,"spline",TRUE,TRUE,7.75450844385974,0.250527990821629,4.92232395189568,0.0184841928315862,0.0086972985857334,-0.0776760481043199,1.75450844385974,-0.0994720091783712,-0.0776760481043199,0.0163556919569317,0.00884888778697056,0.0163556919569317,0.00884888778697056,2.56
4,"chebyshev",TRUE,TRUE,7.72470731706078,0.254663861124038,5,-0.0113169339673709,0.0128331688881427,0,1.72470731706078,-0.0953361388759619,0,0.0252032471244377,0.013635663123193,0.0252032471244377,0.013635663123193,1.06999999999999
5,"reference",FALSE,FALSE,5.50704701633197,0.46135753308373,4.75709867414749,NA,NA,NA,-0.492952983668033,0.11135753308373,-0.242901325852506,NA,NA,NA,NA,42.05
5,"spline",FALSE,TRUE,5.65877395146279,0.482986505541187,4.3898842661944,NA,NA,NA,-0.34122604853721,0.132986505541187,-0.610115733805595,NA,NA,NA,NA,2.96999999999997
5,"chebyshev",FALSE,TRUE,5.60765964004927,0.516541793279578,4.46783750794796,NA,NA,NA,-0.392340359950735,0.166541793279578,-0.532162492052041,NA,NA,NA,NA,1.58999999999997
6,"reference",TRUE,TRUE,6.08753587462623,0.192800958096484,3,0,0,0,0.08753587462623,-0.157199041903516,-2,0,0,0,0,2.56
6,"spline",TRUE,TRUE,6.10159469183891,0.204369823230432,3,0.0140588172126765,0.0115688651339478,0,0.101594691838907,-0.145630176769568,-2,0.0270819071314747,0.0199261980661843,0.0270819071314747,0.0199261980661843,3.82999999999998
6,"chebyshev",TRUE,TRUE,6.08290701049582,0.207188080968845,5,-0.00462886413040664,0.0143871228723604,2,0.0829070104958234,-0.142811919031155,0,0.205723419675905,0.151366208716913,0.205723419675905,0.151366208716913,1.38999999999999
7,"reference",TRUE,TRUE,5.17684821737365,0.301424664119305,5,0,0,0,-0.82315178262635,-0.0485753358806947,0,0,0,0,0,1.80000000000001
7,"spline",TRUE,TRUE,5.18161168533969,0.313447007280816,5,0.0047634679660371,0.0120223431615109,0,-0.818388314660313,-0.0365529927191838,0,0.0229896175064397,0.0204613074083204,0.0229896175064397,0.0204613074083204,1.28000000000003
7,"chebyshev",TRUE,TRUE,5.18329782678395,0.313587654718469,4.67184763702739,0.00644960941029993,0.012162990599164,-0.328152362972607,-0.81670217321605,-0.0364123452815307,-0.328152362972607,0.105515221394398,0.0939110613999129,0.105515221394398,0.0939110613999129,1.90999999999997
8,"reference",TRUE,TRUE,6.78257582310418,0.266914629589183,5,0,0,0,0.782575823104176,-0.083085370410817,0,0,0,0,0,1.94
8,"spline",TRUE,TRUE,6.75815461231591,0.274644455561082,5,-0.0244212107882689,0.00772982597189886,0,0.758154612315908,-0.0753555444389181,0,0.0127501789193332,0.00785934490888998,0.0127501789193332,0.00785934490888998,1.70000000000005
8,"chebyshev",TRUE,TRUE,6.76158574904148,0.276943515293945,5,-0.020990074062694,0.0100288857047619,0,0.761585749041482,-0.0730564847060551,0,0.020363576229073,0.0125523233968178,0.020363576229073,0.0125523233968178,0.990000000000009
9,"reference",TRUE,TRUE,4.61645069960567,0.489761093087349,4.74588403324326,0,0,0,-1.38354930039433,0.139761093087349,-0.254115966756742,0,0,0,0,36.17
9,"spline",TRUE,TRUE,4.58922418948394,0.537120284386341,3,-0.0272265101217339,0.0473591912989917,-1.74588403324326,-1.41077581051606,0.187120284386341,-2,-1.0222093871396,-0.980587778978507,1.0222093871396,0.980587778978507,3.25
9,"chebyshev",TRUE,TRUE,4.55332749688034,0.551405510023917,3,-0.063123202725337,0.0616444169365682,-1.74588403324326,-1.44667250311966,0.201405510023917,-2,-0.979839222815031,-0.939942813423806,0.979839222815031,0.939942813423806,1.72000000000003
10,"reference",TRUE,TRUE,4.97565943174423,0.397771656282737,4.96353853117137,0,0,0,-1.02434056825577,0.0477716562827371,-0.0364614688286258,0,0,0,0,13.69
10,"spline",TRUE,TRUE,5.01227178125335,0.412587906517627,5,0.036612349509122,0.0148162502348902,0.0364614688286258,-0.987728218746647,0.0625879065176274,0,0.0580289951400346,0.0524038546781284,0.0580289951400346,0.0524038546781284,1.13999999999999
10,"chebyshev",TRUE,TRUE,4.99954325030969,0.418712494124444,4.49851039404406,0.0238838185654577,0.0209408378417066,-0.465028137127313,-1.00045674969031,0.0687124941244437,-0.501489605955939,0.0316269778032137,0.0285611623070234,0.0316269778032137,0.0285611623070234,1.52999999999997
11,"reference",TRUE,TRUE,6.62202866885574,0.278870600527526,3,0,0,0,0.622028668855741,-0.0711293994724735,-2,0,0,0,0,2.72000000000003
11,"spline",TRUE,TRUE,6.64730309524671,0.290882513800348,3,0.0252744263909728,0.012011913272821,0,0.647303095246714,-0.0591174861996525,-2,0.0226731434861733,0.0147777982986679,0.0226731434861733,0.0147777982986679,2.67000000000002
11,"chebyshev",TRUE,TRUE,6.64213850107371,0.284811398158637,3,0.0201098322179645,0.00594079763111044,0,0.642138501073705,-0.065188601841363,-2,0.00647663286468969,0.00422131029988298,0.00647663286468969,0.00422131029988298,1.63999999999999
12,"reference",TRUE,TRUE,8.34070017838288,0.262627402500181,5,0,0,0,2.34070017838288,-0.0873725974998195,0,0,0,0,0,4.94999999999999
12,"spline",TRUE,TRUE,8.34823029529582,0.275007389532526,5,0.00753011691293359,0.0123799870323453,0,2.34823029529582,-0.0749926104674742,0,0.0243759016403544,0.0119628002770178,0.0243759016403544,0.0119628002770178,2.03000000000003
12,"chebyshev",TRUE,TRUE,8.33105180225817,0.284813334354565,4.9714046006768,-0.0096483761247157,0.022185931854384,-0.0285953993231978,2.33105180225817,-0.0651866656454355,-0.0285953993231978,0.0776629416724575,0.0381141290222152,0.0776629416724575,0.0381141290222152,1.20000000000005
13,"reference",TRUE,TRUE,6.15893377673558,0.435033557165435,4.80924475676289,0,0,0,0.158933776735577,0.0850335571654354,-0.190755243237109,0,0,0,0,29.01
13,"spline",TRUE,TRUE,6.18512688939441,0.438198886949289,5,0.0261931126588326,0.00316532978385381,0.190755243237109,0.185126889394409,0.0881988869492892,0,0.0163578572826282,0.010664481469449,0.0163578572826282,0.010664481469449,1.25
13,"chebyshev",TRUE,TRUE,6.18188938433706,0.443979658041414,4.72549714674268,0.0229556076014816,0.00894610087597897,-0.0837476100202084,0.181889384337058,0.0939796580414144,-0.274502853257317,0.0702167598311405,0.0457777153282288,0.0702167598311405,0.0457777153282288,1.55000000000001
14,"reference",TRUE,TRUE,7.07937091233132,0.277685030365906,5,0,0,0,1.07937091233132,-0.072314969634094,0,0,0,0,0,3.02999999999997
14,"spline",TRUE,TRUE,7.07709706400037,0.28199788991,5,-0.00227384833095456,0.00431285954409427,0,1.07709706400037,-0.0680021100899997,0,0.00213264546138703,0.0012730176336841,0.00213264546138703,0.0012730176336841,1.31999999999999
14,"chebyshev",TRUE,TRUE,7.03151401538612,0.289704698680956,3,-0.0478568969451976,0.0120196683150499,-2,1.03151401538612,-0.0602953013190441,-2,0.146681450042507,0.0875570158375134,0.146681450042507,0.0875570158375134,2.61000000000001
15,"reference",TRUE,TRUE,6.01976052474035,0.482378916448119,5,0,0,0,0.0197605247403532,0.132378916448119,0,0,0,0,0,4.19999999999999
15,"spline",TRUE,TRUE,6.12671780129711,0.502470621133742,5,0.106957276556754,0.0200917046856234,0,0.126717801297107,0.152470621133742,0,0.0863956303908537,0.0580164731202386,0.0863956303908537,0.0580164731202386,1.26999999999998
15,"chebyshev",TRUE,TRUE,6.08920846181326,0.51458717657877,4.91103726678436,0.0694479370729075,0.0322082601306508,-0.0889627332156397,0.0892084618132607,0.16458717657877,-0.0889627332156397,0.130581819502567,0.0876884234409674,0.130581819502567,0.0876884234409674,1.63999999999999
16,"reference",TRUE,TRUE,5.20018637437674,0.604382857335556,4.85814833784734,0,0,0,-0.799813625623263,0.254382857335556,-0.14185166215266,0,0,0,0,25.87
16,"spline",TRUE,TRUE,5.10904165482485,0.580225546188533,5,-0.0911447195518829,-0.0241573111470225,0.14185166215266,-0.890958345175146,0.230225546188533,0,-0.0238367883103763,-0.0179886091244447,0.0238367883103763,0.0179886091244447,2.27999999999997
16,"chebyshev",TRUE,TRUE,5.07039497135524,0.604454913214557,4.8548858968257,-0.129791403021496,7.20558790011649e-05,-0.00326244102163908,-0.929605028644759,0.254454913214557,-0.145114103174299,0.110909185149836,0.0836984393196372,0.110909185149836,0.0836984393196372,1.50999999999999
17,"reference",TRUE,TRUE,6.64847385424245,0.272556661737137,5,0,0,0,0.648473854242447,-0.0774433382628633,0,0,0,0,0,2.63999999999999
17,"spline",TRUE,TRUE,6.65815626521888,0.291514408055908,5,0.0096824109764313,0.0189577463187718,0,0.658156265218878,-0.0584855919440915,0,0.0647181091568143,0.0406961186177203,0.0647181091568143,0.0406961186177203,1.26999999999998
17,"chebyshev",TRUE,TRUE,6.63490983746577,0.287852704200761,5,-0.0135640167766793,0.0152960424636243,0,0.634909837465767,-0.062147295799239,0,0.0402991879160481,0.0253409834279223,0.0402991879160481,0.0253409834279223,0.810000000000002
18,"reference",TRUE,TRUE,6.09812235129034,0.262192697077446,3,0,0,0,0.0981223512903373,-0.087807302922554,-2,0,0,0,0,2.93000000000001
18,"spline",TRUE,TRUE,6.13515509232923,0.289081499787046,3,0.0370327410388969,0.0268888027096005,0,0.135155092329234,-0.0609185002129535,-2,0.0976732878544055,0.0707280620372848,0.0976732878544055,0.0707280620372848,1.69
