"method","region","n","mean_value_error","median_value_error","max_value_error","mean_grad_error","mean_hess_error"
"chebyshev","interior_stable",200,0.00027861867882351,0.000225003210109764,0.00102801293698285,0.0106447673266325,3.28643932771609
"spline","interior_stable",200,0.00731597346471523,0.00615819473540236,0.0290977902873996,0.0315784826236699,3.29048837066418
"chebyshev","transition",200,0.000252552566193956,0.000202697334802701,0.000847895202150006,0.00930315379926136,3.64188154818215
"spline","transition",200,0.00497648818184808,0.00422354449715461,0.0218923913050619,0.0335463534557574,3.86629667026211
"chebyshev","low_separation",200,0.000177927720727763,0.00010972561944167,0.00146760269766322,0.00889060958298381,5.49141326316593
"spline","low_separation",200,0.00358980250282868,0.00219780968454641,0.0219676622168339,0.0188005939037366,5.49762173815336
"chebyshev","high_dependence",200,0.000255700260385303,0.000198166663500032,0.000809298656216484,0.0139584070005019,8.00452957668423
"spline","high_dependence",200,0.00446207429137342,0.0038914225734743,0.0163262148027599,0.0680971185304821,8.63038438712961
"chebyshev","high_t_low_q",200,7.74366950381265e-05,4.42035905859894e-05,0.000446764491318419,0.0114433496398054,4.61179179505085
"spline","high_t_low_q",200,0.00216286076509046,0.00196890883589118,0.00635711381941029,0.020740238218663,4.64623381731949
