"method","alpha","b","alpha_gap_vs_reference","b_gap_vs_reference","alpha_error_vs_truth","b_error_vs_truth","criterion_gap_exact","criterion_gap_exact_pct","optimization_time","converged","fncount","grcount","replicate"
"reference",1.10244266855855,0.234404626436474,0,0,-0.0975573314414506,-0.065595373563526,0,0,9.14,TRUE,11,11,1
"spline",1.06523642450681,0.254032527973896,-0.0372062440517413,0.0196279015374223,-0.134763575493192,-0.0459674720261036,14.7421617748405,0.0549305216727607,0.239999999999998,TRUE,12,12,1
"chebyshev",1.06529692253617,0.253965366991058,-0.0371457460223776,0.0195607405545843,-0.134703077463828,-0.0460346330089417,14.610611340293,0.0544403538055007,0.300000000000001,TRUE,12,12,1
"reference",1.01424236151481,0.333773147051651,0,0,-0.18575763848519,0.0337731470516507,0,0,19.89,TRUE,24,24,2
"spline",0.993483980859254,0.349392926170622,-0.0207583806555556,0.0156197791189711,-0.206516019140746,0.0493929261706217,2.569060515405,0.00829266607094388,0.479999999999997,TRUE,29,29,2
"chebyshev",0.993543352830576,0.349358711656085,-0.0206990086842335,0.0155855646044344,-0.206456647169424,0.0493587116560851,2.56172394794703,0.00826898437731655,0.390000000000001,TRUE,14,14,2
"reference",1.09569122570481,0.326473943036314,0,0,-0.104308774295188,0.0264739430363138,0,0,12.28,TRUE,15,15,3
"spline",1.13520264695517,0.31079463121319,0.0395114212503607,-0.015679311823124,-0.0647973530448269,0.0107946312131898,6.48947405446961,0.0198836979458722,0.18,TRUE,10,10,3
"chebyshev",1.13508847665763,0.310872041163267,0.0393972509528202,-0.015601901873047,-0.0649115233423674,0.0108720411632668,6.46628211581265,0.0198126380265068,0.289999999999999,TRUE,10,10,3
"reference",1.05643179453539,0.326790595539868,0,0,-0.143568205464607,0.0267905955398683,0,0,9.83000000000001,TRUE,12,12,4
"spline",1.04885707739552,0.332885166624097,-0.00757471713987368,0.00609457108422901,-0.151142922604481,0.0328851666240974,0.62013840916552,0.00194585197983231,0.219999999999999,TRUE,12,12,4
"chebyshev",1.04901839984385,0.332756702117756,-0.00741339469153823,0.00596610657788749,-0.150981600156146,0.0327567021177558,0.595296293926367,0.00186790312453341,0.329999999999998,TRUE,12,12,4
"reference",1.07412251157244,0.325939239092178,0,0,-0.125877488427559,0.0259392390921775,0,0,9.89999999999999,TRUE,12,12,5
"spline",1.07076722222082,0.328842457243459,-0.003355289351618,0.00290321815128181,-0.129232777779177,0.0288424572434594,0.182458111263259,0.000565612441644928,0.239999999999995,TRUE,13,13,5
"chebyshev",1.07091964637044,0.328736981453249,-0.00320286520200508,0.0027977423610715,-0.129080353629564,0.028736981453249,0.172481750374573,0.000534686144085928,0.350000000000009,TRUE,13,13,5
"reference",1.10642115169806,0.394744057062891,0,0,-0.0935788483019362,0.0947440570628911,0,0,16.66,TRUE,21,21,6
"spline",1.09584300499953,0.40158513790946,-0.0105781466985382,0.0068410808465687,-0.104156995000474,0.10158513790946,0.304953046543233,0.000829588534274134,0.240000000000009,TRUE,13,13,6
"chebyshev",1.09570799175233,0.40165251694552,-0.0107131599457335,0.00690845988262861,-0.10429200824767,0.10165251694552,0.312825002343743,0.000851003254830108,0.349999999999994,TRUE,13,13,6
"reference",1.06778712577501,0.38019859110759,0,0,-0.132212874224994,0.0801985911075896,0,0,10.57,TRUE,13,13,7
"spline",1.07459259089839,0.376908331793525,0.00680546512338176,-0.00329025931406507,-0.125407409101612,0.0769083317935246,0.205189885775326,0.000589921747991054,0.230000000000004,TRUE,13,13,7
"chebyshev",1.07470532826904,0.376803606228643,0.00691820249403441,-0.00339498487894646,-0.12529467173096,0.0768036062286432,0.205828026140807,0.000591756404111876,0.330000000000013,TRUE,13,13,7
"reference",1.04713670771904,0.259707585933516,0,0,-0.152863292280959,-0.0402924140664839,0,0,9.39,TRUE,11,11,8
"spline",1.02919021776489,0.275196212851566,-0.0179464899541526,0.0154886269180495,-0.170809782235112,-0.0248037871484343,11.1457202224519,0.0390853562832339,0.209999999999994,TRUE,11,11,8
