"n","method","n_replicates","n_converged","mean_time","sd_time","mean_time_converged","sd_time_converged","convergence_rate","mean_fncount_converged","mean_grcount_converged","speedup_vs_reference","matched_n","matched_reference_mean_time","matched_mean_time","matched_speedup_vs_reference"
50,"reference",10,10,2.603,0.93708827996323,2.603,0.93708827996323,1,13.1,13.1,1,10,2.603,2.603,1
50,"spline",10,10,0.0819999999999998,0.030840089349921,0.0819999999999998,0.030840089349921,1,13.5,13.5,31.7439024390245,10,2.603,0.0819999999999998,31.7439024390245
50,"chebyshev",10,10,0.118,0.0551361950083608,0.118,0.0551361950083608,1,14.5,14.5,22.0593220338983,10,2.603,0.118,22.0593220338983
100,"reference",10,10,5.729,2.17093656184504,5.729,2.17093656184504,1,14.4,14.4,1,10,5.729,5.729,1
100,"spline",10,10,0.130000000000001,0.0410960933531268,0.130000000000001,0.0410960933531268,1,14.7,14.7,44.0692307692304,10,5.729,0.130000000000001,44.0692307692304
100,"chebyshev",10,10,0.156999999999998,0.0235937844922486,0.156999999999998,0.0235937844922486,1,12.8,12.8,36.4904458598731,10,5.729,0.156999999999998,36.4904458598731
200,"reference",10,10,13.175,5.7776278292508,13.175,5.7776278292508,1,15.7,15.7,1,10,13.175,13.175,1
200,"spline",10,10,0.335999999999996,0.149681142581305,0.335999999999996,0.149681142581305,1,18.6,18.6,39.21130952381,10,13.175,0.335999999999996,39.21130952381
200,"chebyshev",10,9,0.575,0.329047446764478,0.496666666666667,0.229728100153202,0.9,18.4444444444444,18.4444444444444,22.9130434782609,9,13.7533333333333,0.496666666666667,27.6912751677852
400,"reference",10,10,26.016,8.61066935067574,26.016,8.61066935067574,1,15.6,15.6,1,10,26.016,26.016,1
400,"spline",10,10,0.599999999999997,0.224400435729425,0.599999999999997,0.224400435729425,1,17.5,17.5,43.3600000000002,10,26.016,0.599999999999997,43.3600000000002
400,"chebyshev",10,10,0.937999999999988,0.348195347470352,0.937999999999988,0.348195347470352,1,17.7,17.7,27.7356076759065,10,26.016,0.937999999999988,27.7356076759065
