"n","replicate","method","mean_time","fncount","grcount","convergence_code","converged"
50,1,"reference",2.77,14,14,0,TRUE
50,1,"spline",0.1,15,15,0,TRUE
50,1,"chebyshev",0.11,15,15,0,TRUE
50,2,"reference",1.69,9,9,0,TRUE
50,2,"spline",0.0600000000000005,10,10,0,TRUE
50,2,"chebyshev",0.0800000000000001,10,10,0,TRUE
50,3,"reference",2.55,12,12,0,TRUE
50,3,"spline",0.0599999999999996,9,9,0,TRUE
50,3,"chebyshev",0.0800000000000001,9,9,0,TRUE
50,4,"reference",2.24,11,11,0,TRUE
50,4,"spline",0.0600000000000005,10,10,0,TRUE
50,4,"chebyshev",0.0800000000000001,10,10,0,TRUE
50,5,"reference",2,10,10,0,TRUE
50,5,"spline",0.0600000000000005,11,11,0,TRUE
50,5,"chebyshev",0.18,23,23,0,TRUE
50,6,"reference",5.11,26,26,0,TRUE
50,6,"spline",0.0700000000000003,11,11,0,TRUE
50,6,"chebyshev",0.0899999999999999,11,11,0,TRUE
50,7,"reference",2.24,11,11,0,TRUE
50,7,"spline",0.0899999999999999,13,13,0,TRUE
50,7,"chebyshev",0.109999999999999,13,13,0,TRUE
50,8,"reference",2.41,12,12,0,TRUE
50,8,"spline",0.0799999999999983,12,12,0,TRUE
50,8,"chebyshev",0.0899999999999999,12,12,0,TRUE
50,9,"reference",2.7,14,14,0,TRUE
50,9,"spline",0.16,31,31,0,TRUE
50,9,"chebyshev",0.25,29,29,0,TRUE
50,10,"reference",2.32,12,12,0,TRUE
50,10,"spline",0.0799999999999983,13,13,0,TRUE
50,10,"chebyshev",0.110000000000003,13,13,0,TRUE
100,1,"reference",4.34,11,11,0,TRUE
100,1,"spline",0.100000000000001,10,10,0,TRUE
100,1,"chebyshev",0.119999999999997,10,10,0,TRUE
100,2,"reference",4.75,12,12,0,TRUE
100,2,"spline",0.109999999999999,12,12,0,TRUE
100,2,"chebyshev",0.149999999999999,12,12,0,TRUE
100,3,"reference",5.87,15,15,0,TRUE
100,3,"spline",0.119999999999997,13,13,0,TRUE
100,3,"chebyshev",0.170000000000002,13,13,0,TRUE
100,4,"reference",5.21,13,13,0,TRUE
100,4,"spline",0.130000000000003,14,14,0,TRUE
100,4,"chebyshev",0.18,15,15,0,TRUE
100,5,"reference",4.81,12,12,0,TRUE
100,5,"spline",0.0900000000000034,10,10,0,TRUE
100,5,"chebyshev",0.119999999999997,10,10,0,TRUE
100,6,"reference",5.6,14,14,0,TRUE
100,6,"spline",0.210000000000001,25,25,0,TRUE
100,6,"chebyshev",0.189999999999998,16,16,0,TRUE
100,7,"reference",4.95,12,12,0,TRUE
100,7,"spline",0.109999999999999,12,12,0,TRUE
100,7,"chebyshev",0.150000000000006,12,12,0,TRUE
100,8,"reference",5.17,13,13,0,TRUE
100,8,"spline",0.120000000000005,14,14,0,TRUE
100,8,"chebyshev",0.170000000000002,14,14,0,TRUE
100,9,"reference",11.78,30,30,0,TRUE
100,9,"spline",0.200000000000003,25,25,0,TRUE
100,9,"chebyshev",0.169999999999987,14,14,0,TRUE
100,10,"reference",4.81,12,12,0,TRUE
100,10,"spline",0.109999999999999,12,12,0,TRUE
100,10,"chebyshev",0.149999999999991,12,12,0,TRUE
200,1,"reference",11.61,14,14,0,TRUE
200,1,"spline",0.439999999999998,25,25,0,TRUE
200,1,"chebyshev",0.75,25,25,0,TRUE
200,2,"reference",10.32,13,13,0,TRUE
200,2,"spline",0.210000000000008,11,11,0,TRUE
200,2,"chebyshev",0.280000000000001,11,11,0,TRUE
200,3,"reference",11.5,13,13,0,TRUE
200,3,"spline",0.629999999999995,36,36,0,TRUE
200,3,"chebyshev",0.77000000000001,30,30,0,TRUE
200,4,"reference",9.20000000000002,11,11,0,TRUE
200,4,"spline",0.359999999999985,21,21,0,TRUE
200,4,"chebyshev",0.689999999999998,26,26,0,TRUE
200,5,"reference",7.97,10,10,0,TRUE
200,5,"spline",0.360000000000014,20,20,0,TRUE
200,5,"chebyshev",1.28,51,51,52,FALSE
200,6,"reference",19.5,24,24,0,TRUE
200,6,"spline",0.189999999999998,10,10,0,TRUE
200,6,"chebyshev",0.240000000000009,10,10,0,TRUE
200,7,"reference",9.94999999999999,12,12,0,TRUE
200,7,"spline",0.25,13,13,0,TRUE
200,7,"chebyshev",0.370000000000005,13,13,0,TRUE
200,8,"reference",18.44,21,21,0,TRUE
200,8,"spline",0.20999999999998,11,11,0,TRUE
200,8,"chebyshev",0.329999999999984,12,12,0,TRUE
200,9,"reference",8.20000000000002,10,10,0,TRUE
200,9,"spline",0.20999999999998,11,11,0,TRUE
200,9,"chebyshev",0.310000000000002,11,11,0,TRUE
200,10,"reference",25.06,29,29,0,TRUE
200,10,"spline",0.5,28,28,0,TRUE
200,10,"chebyshev",0.72999999999999,28,28,0,TRUE
400,1,"reference",20.14,12,12,0,TRUE
400,1,"spline",0.400000000000006,12,12,0,TRUE
400,1,"chebyshev",0.629999999999995,12,12,0,TRUE
400,2,"reference",23.2,14,14,0,TRUE
400,2,"spline",0.939999999999998,27,27,0,TRUE
400,2,"chebyshev",1.06,20,20,0,TRUE
400,3,"reference",19.95,12,12,0,TRUE
400,3,"spline",0.849999999999966,24,24,0,TRUE
400,3,"chebyshev",1.14999999999998,22,22,0,TRUE
400,4,"reference",28.58,17,17,0,TRUE
400,4,"spline",0.640000000000043,18,18,0,TRUE
400,4,"chebyshev",1.63999999999999,31,31,0,TRUE
400,5,"reference",21.6,13,13,0,TRUE
400,5,"spline",0.480000000000018,14,14,0,TRUE
400,5,"chebyshev",0.740000000000009,14,14,0,TRUE
400,6,"reference",31.38,19,19,0,TRUE
400,6,"spline",0.509999999999991,16,16,0,TRUE
400,6,"chebyshev",0.840000000000032,16,16,0,TRUE
400,7,"reference",20.27,12,12,0,TRUE
400,7,"spline",0.930000000000007,27,27,0,TRUE
400,7,"chebyshev",1.33999999999997,25,25,0,TRUE
400,8,"reference",48.09,29,29,0,TRUE
400,8,"spline",0.420000000000016,12,12,0,TRUE
400,8,"chebyshev",0.649999999999977,12,12,0,TRUE
400,9,"reference",23.47,14,14,0,TRUE
400,9,"spline",0.389999999999986,12,12,0,TRUE
400,9,"chebyshev",0.639999999999986,12,12,0,TRUE
400,10,"reference",23.48,14,14,0,TRUE
400,10,"spline",0.439999999999941,13,13,0,TRUE
400,10,"chebyshev",0.689999999999941,13,13,0,TRUE
