"method","alpha","b","alpha_gap_vs_reference","b_gap_vs_reference","criterion_gap_exact_pct","optimization_time","converged","replicate","wrapper","m_neighbors","weight_ratio"
"reference",1.06601411472324,0.264264844983013,0,0,0,9.18,TRUE,1,"normalized_inverse_distance",6,29.3813850921651
"spline",1.05198837069679,0.273781745455191,-0.0140257440264486,0.00951690047217824,0.00600543989620744,0.209999999999999,TRUE,1,"normalized_inverse_distance",6,29.3813850921651
"chebyshev",1.05220741670236,0.273642881422575,-0.0138066980208826,0.00937803643956264,0.00584903302455422,0.25,TRUE,1,"normalized_inverse_distance",6,29.3813850921651
"reference",1.03745541322815,0.337597508473011,0,0,0,11.45,TRUE,2,"normalized_inverse_distance",6,47.2696502160553
"spline",1.03617194228496,0.339627468180105,-0.00128347094319281,0.00202995970709363,0.000308516374028757,0.240000000000002,TRUE,2,"normalized_inverse_distance",6,47.2696502160553
"chebyshev",1.03609286332489,0.339648191104876,-0.00136254990326035,0.00205068263186486,0.000295613103735664,0.640000000000001,TRUE,2,"normalized_inverse_distance",6,47.2696502160553
"reference",1.00354280939609,0.391923359908165,0,0,0,10.47,TRUE,3,"normalized_inverse_distance",6,83.1983005915957
"spline",1.10692708102855,0.327133872638064,0.103384271632463,-0.0647894872701014,0.274829332581464,0.219999999999999,TRUE,3,"normalized_inverse_distance",6,83.1983005915957
"chebyshev",1.10696096613935,0.32705533773298,0.103418156743261,-0.0648680221751856,0.274636135518956,0.300000000000004,TRUE,3,"normalized_inverse_distance",6,83.1983005915957
"reference",1.0881652663529,0.338414660930442,0,0,0,15.29,TRUE,4,"normalized_inverse_distance",6,114.882053046518
"spline",1.08710736987367,0.337787722229499,-0.00105789647922716,-0.000626938700943103,0.000419024214651723,0.229999999999997,TRUE,4,"normalized_inverse_distance",6,114.882053046518
"chebyshev",1.08710415158956,0.337790327733752,-0.00106111476333504,-0.000624333196689975,0.000419010413669858,0.329999999999998,TRUE,4,"normalized_inverse_distance",6,114.882053046518
"reference",1.06381502183501,0.289466304967775,0,0,0,8.39,TRUE,5,"normalized_inverse_distance",6,151.456336733403
"spline",1.03156670057055,0.310334712892797,-0.0322483212644631,0.0208684079250221,0.03418574092252,0.170000000000002,TRUE,5,"normalized_inverse_distance",6,151.456336733403
"chebyshev",1.03183215466736,0.310148029519095,-0.0319828671676536,0.0206817245513197,0.033629349302354,0.25,TRUE,5,"normalized_inverse_distance",6,151.456336733403
