"replicate","method","delta","b","converged","delta_gap_vs_reference","b_gap_vs_reference","delta_error_vs_truth","b_error_vs_truth","criterion_gap_exact","criterion_gap_exact_pct"
1,"reference",6.96815258409894,0.306764056965461,TRUE,0,0,0.968152584098941,-0.0432359430345386,0,0
1,"spline",7.01546409422591,0.329515737194596,TRUE,0.0473115101269661,0.0227516802291346,1.01546409422591,-0.020484262805404,0.0844120931542705,0.0498788840224079
1,"chebyshev",7.01376239037454,0.330231131974536,TRUE,0.0456098062756034,0.0234670750090746,1.01376239037454,-0.019768868025464,0.0887061416723895,0.0524162260076424
2,"reference",7.5353115714901,0.346400829334608,TRUE,0,0,1.5353115714901,-0.00359917066539195,0,0
2,"spline",7.63453747283548,0.352960167642698,TRUE,0.099225901345382,0.00655933830809013,1.63453747283548,0.00296016764269819,0.0306026151619392,0.0166515444597182
2,"chebyshev",7.62888486301965,0.354722413661269,TRUE,0.0935732915295455,0.00832158432666119,1.62888486301965,0.00472241366126924,0.031498153711766,0.0171388263439272
3,"reference",6.80274201778614,0.25672600516822,TRUE,0,0,0.802742017786141,-0.0932739948317801,0,0
3,"spline",6.80472022690977,0.264602143342836,TRUE,0.00197820912363156,0.00787613817461602,0.804720226909772,-0.0853978566571641,0.00964090731361011,0.00601823027603225
3,"chebyshev",6.8048871700038,0.266820936611199,TRUE,0.00214515221765588,0.0100949314429796,0.804887170003797,-0.0831790633888005,0.0157070278412732,0.00980493924751102
4,"reference",6.21356454619411,0.329454667227945,TRUE,0,0,0.213564546194106,-0.0205453327720554,0,0
4,"spline",6.23743589494342,0.340686159977935,TRUE,0.0238713487493136,0.0112314927499905,0.237435894943419,-0.00931384002206487,0.0236781955517529,0.0157534743804616
4,"chebyshev",6.23746215700368,0.340739433481699,FALSE,0.0238976108095743,0.011284766253754,0.23746215700368,-0.00926056651830143,0.0238796784893793,0.0158875241347624
5,"reference",7.12466451943512,0.05,TRUE,0,0,1.12466451943512,-0.3,0,0
5,"spline",7.12467455328697,0.05,TRUE,1.00338518489451e-05,0,1.12467455328697,-0.3,2.7577584660321e-10,1.70518409482773e-10
5,"chebyshev",7.12380879947414,0.0531281903000652,TRUE,-0.000855719960982881,0.00312819030006524,1.12380879947414,-0.296871809699935,0.00399908748622124,0.00247272575148345
6,"reference",7.38902885101526,0.199061517776096,TRUE,0,0,1.38902885101526,-0.150938482223904,0,0
6,"spline",7.37254815002858,0.203713827253252,TRUE,-0.0164807009866816,0.00465230947715625,1.37254815002858,-0.146286172746748,0.00320740180993084,0.00183228220928864
6,"chebyshev",7.36610799480341,0.211475905810916,TRUE,-0.022920856211849,0.0124143880348201,1.36610799480341,-0.138524094189084,0.0188822220708005,0.0107867868207354
7,"reference",5.42858081005822,0.263065366641633,TRUE,0,0,-0.571419189941781,-0.0869346333583665,0,0
7,"spline",5.43355297029372,0.263151097682026,TRUE,0.00497216023549729,8.5731040392889e-05,-0.566447029706284,-0.0868489023179737,0.145130045208106,0.123401912204571
7,"chebyshev",5.43653154845655,0.254849204942036,TRUE,0.00795073839832749,-0.00821616169959721,-0.563468451543454,-0.0951507950579638,0.00729138159624654,0.00619975298911976
8,"reference",5.64285347158032,0.0548730282638091,TRUE,0,0,-0.357146528419684,-0.295126971736191,0,0
8,"spline",5.63159483173531,0.0554020905203972,TRUE,-0.0112586398450034,0.000529062256588116,-0.368405168264688,-0.294597909479603,0.000763942342473456,0.00063943063097083
8,"chebyshev",5.63085196210557,0.0559812772646614,TRUE,-0.0120015094747474,0.00110824900085234,-0.369148037894432,-0.294018722735339,0.00145720180785247,0.00121969868619937
9,"reference",5.3653398687601,0.306151821587205,TRUE,0,0,-0.634660131239897,-0.0438481784127954,0,0
9,"spline",5.28682225824833,0.312077015384726,TRUE,-0.0785176105117715,0.00592519379752093,-0.713177741751668,-0.0379229846152744,0.0313096233138168,0.0258673919541378
9,"chebyshev",5.2879020437139,0.309549974410616,TRUE,-0.077437825046208,0.00339815282341122,-0.712097956286105,-0.0404500255893842,0.0288628835991602,0.0238459439611545
10,"reference",5.77964701972592,0.118765829035847,TRUE,0,0,-0.220352980274078,-0.231234170964153,0,0
10,"spline",5.76192883790948,0.121925439856551,TRUE,-0.0177181818164378,0.00315961082070433,-0.238071162090516,-0.228074560143449,0.00352233550627545,0.00286243173867193
10,"chebyshev",5.76116126670238,0.115532753949338,TRUE,-0.0184857530235414,-0.0032330750865084,-0.238838733297619,-0.234467246050662,0.00351753948896771,0.00285853424732381
11,"reference",6.33213077498586,0.235970295637138,TRUE,0,0,0.33213077498586,-0.114029704362862,0,0
11,"spline",6.35558881998343,0.252241840921468,TRUE,0.023458044997569,0.0162715452843294,0.355588819983429,-0.0977581590785322,0.0465949187800732,0.0321298318961603
11,"chebyshev",6.35940872870441,0.253126100020865,TRUE,0.027277953718551,0.0171558043837269,0.359408728704411,-0.0968738999791347,0.0525043559964047,0.0362047230931559
12,"reference",5.76503757451327,0.274375076495498,TRUE,0,0,-0.234962425486727,-0.0756249235045022,0,0
12,"spline",5.80834477718472,0.299135230995643,TRUE,0.0433072026714507,0.0247601545001453,-0.191655222815276,-0.0508647690043569,0.1102833892962,0.0850250667607518
12,"chebyshev",5.81107521192895,0.29684202099333,TRUE,0.0460376374156741,0.0224669444978319,-0.188924788071053,-0.0531579790066704,0.0943354843434747,0.0727297275265024
13,"reference",5.43252719195568,0.300644854254296,TRUE,0,0,-0.567472808044324,-0.0493551457457037,0,0
13,"spline",5.47917040527013,0.321797032404913,TRUE,0.0466432133144554,0.0211521781506169,-0.520829594729869,-0.0282029675950868,0.0766830211307905,0.0637338461600138
