"replicate","method","converged","beta_intercept","beta_intercept_gap_vs_reference","beta_x1","beta_x1_gap_vs_reference","delta","delta_gap_vs_reference","b","b_gap_vs_reference","delta_error_vs_truth","b_error_vs_truth","beta_intercept_error_vs_truth","beta_x1_error_vs_truth","criterion_gap_exact","criterion_gap_exact_pct"
1,"reference",TRUE,-0.197184088985398,0,0.602264317712115,0,6.71325222580336,0,0.319002218659857,0,0.713252225803356,-0.0309977813401426,0.152815911014602,-0.297735682287885,0,0
1,"spline",TRUE,-0.210278612765908,-0.0130945237805104,0.606439488847743,0.00417517113562871,6.71184914482685,-0.0014030809765071,0.376805963438932,0.0578037447790748,0.711849144826849,0.0268059634389322,0.139721387234092,-0.293560511152257,0.471929420870481,0.288426850119903
1,"chebyshev",TRUE,-0.210228846821666,-0.0130447578362685,0.608027555468474,0.00576323775635912,6.71787639932872,0.00462417352536093,0.372953704922785,0.0539514862629276,0.717876399328717,0.0229537049227849,0.139771153178334,-0.291972444531526,0.414519877358629,0.253340133611738
2,"reference",TRUE,-0.37719023920477,0,1.23562580268447,0,5.42902956190589,0,0.390437402572102,0,-0.570970438094106,0.0404374025721017,-0.0271902392047704,0.335625802684472,0,0
2,"spline",TRUE,-0.402181416859429,-0.0249911776546588,1.27992600651708,0.0443002038326052,5.54347661617319,0.114447054267295,0.45600982704918,0.0655724244770781,-0.456523383826811,0.10600982704918,-0.0521814168594292,0.379926006517077,0.586975200654848,0.420915334241776
2,"chebyshev",TRUE,-0.40012169428963,-0.0229314550848592,1.2778446731585,0.0422188704740241,5.5537879080463,0.124758346140404,0.454164302071201,0.0637268994990992,-0.446212091953702,0.104164302071201,-0.0501216942896296,0.377844673158496,0.570726582757146,0.409263577190119
3,"reference",TRUE,-0.520020408722507,0,1.10597746881924,0,5.57380949235775,0,0.372137744453318,0,-0.426190507642246,0.022137744453318,-0.170020408722507,0.205977468819236,0,0
3,"spline",TRUE,-0.521023782864187,-0.00100337414168039,1.10538694087033,-0.00059052794890424,5.58807306847535,0.0142635761175969,0.379216195861452,0.00707845140813423,-0.411926931524649,0.0292161958614522,-0.171023782864187,0.205386940870332,0.00840698064232015,0.00596312066177222
3,"chebyshev",TRUE,-0.520043058767053,-2.26500445466016e-05,1.10564273125085,-0.000334737568386867,5.59496012073965,0.0211506283818998,0.379276416397676,0.00713867194435819,-0.405039879260346,0.0292764163976762,-0.170043058767054,0.205642731250849,0.00973018701907336,0.00690167870308445
4,"reference",TRUE,-0.268099739912072,0,0.963331724740431,0,6.81874259388371,0,0.318272085895019,0,0.818742593883712,-0.0317279141049809,0.0819002600879278,0.0633317247404306,0,0
