"n","replicate","method","mean_time","fncount","grcount","convergence_code","converged"
50,1,"reference",1.26,17,17,0,TRUE
50,1,"spline",0.74,16,16,0,TRUE
50,1,"chebyshev",1.17,18,18,0,TRUE
50,2,"reference",2.48,17,17,0,TRUE
50,2,"spline",1.47,16,16,0,TRUE
50,2,"chebyshev",1.3,17,17,0,TRUE
50,3,"reference",1.17,18,18,0,TRUE
50,3,"spline",1.98,22,22,0,TRUE
50,3,"chebyshev",1.31,17,17,0,TRUE
100,1,"reference",4.39,23,23,0,TRUE
100,1,"spline",3.75,22,22,0,TRUE
100,1,"chebyshev",3.55,24,24,0,TRUE
100,2,"reference",4.36,17,17,0,TRUE
100,2,"spline",3.08,18,18,0,TRUE
100,2,"chebyshev",2.6,17,17,0,TRUE
100,3,"reference",7.34,18,18,0,TRUE
100,3,"spline",3.74,21,21,0,TRUE
100,3,"chebyshev",3.13,21,21,0,TRUE
200,1,"reference",20.97,18,18,0,TRUE
200,1,"spline",12.47,36,36,0,TRUE
200,1,"chebyshev",11.69,40,40,0,TRUE
200,2,"reference",61.7,39,39,0,TRUE
200,2,"spline",9.17000000000002,26,26,0,TRUE
200,2,"chebyshev",7.25,25,25,0,TRUE
200,3,"reference",37.79,39,39,0,TRUE
200,3,"spline",5.42999999999998,16,16,0,TRUE
200,3,"chebyshev",4.97,17,17,0,TRUE
400,1,"reference",192.84,52,52,0,TRUE
400,1,"spline",13.73,19,19,0,TRUE
400,1,"chebyshev",9.73999999999995,16,16,0,TRUE
400,2,"reference",403,118,118,52,FALSE
400,2,"spline",11.4299999999999,16,16,0,TRUE
400,2,"chebyshev",8.90999999999997,15,15,0,TRUE
400,3,"reference",147.64,57,57,52,FALSE
400,3,"spline",10.5600000000001,15,15,0,TRUE
400,3,"chebyshev",9.40999999999997,16,16,0,TRUE
800,1,"reference",666.86,71,71,52,FALSE
800,1,"spline",22.8700000000001,17,17,0,TRUE
800,1,"chebyshev",10.5,16,16,0,TRUE
800,2,"reference",802.47,86,86,52,FALSE
800,2,"spline",26.6199999999999,17,17,0,TRUE
800,2,"chebyshev",20.27,16,16,0,TRUE
800,3,"reference",218.77,21,21,52,FALSE
800,3,"spline",21.8800000000001,14,14,0,TRUE
800,3,"chebyshev",20.0599999999999,16,16,0,TRUE
