"n","method","n_replicates","n_converged","mean_time","sd_time","mean_time_converged","sd_time_converged","convergence_rate","mean_fncount_converged","mean_grcount_converged","speedup_vs_reference","matched_n","matched_reference_mean_time","matched_mean_time","matched_speedup_vs_reference"
50,"reference",3,3,1.63666666666667,0.731733102526689,1.63666666666667,0.731733102526689,1,17.3333333333333,17.3333333333333,1,3,1.63666666666667,1.63666666666667,1
50,"spline",3,3,1.39666666666667,0.623244200400881,1.39666666666667,0.623244200400881,1,18,18,1.17183770883055,3,1.63666666666667,1.39666666666667,1.17183770883055
50,"chebyshev",3,3,1.26,0.0781024967590669,1.26,0.0781024967590669,1,17.3333333333333,17.3333333333333,1.2989417989418,3,1.63666666666667,1.26,1.2989417989418
100,"reference",3,3,5.36333333333334,1.71190926550835,5.36333333333334,1.71190926550835,1,19.3333333333333,19.3333333333333,1,3,5.36333333333334,5.36333333333334,1
100,"spline",3,3,3.52333333333333,0.383970484976818,3.52333333333333,0.383970484976818,1,20.3333333333333,20.3333333333333,1.52223273415326,3,5.36333333333334,3.52333333333333,1.52223273415326
100,"chebyshev",3,3,3.09333333333334,0.476060220280306,3.09333333333334,0.476060220280306,1,20.6666666666667,20.6666666666667,1.73383620689655,3,5.36333333333334,3.09333333333334,1.73383620689655
200,"reference",3,3,40.1533333333333,20.4675898271715,40.1533333333333,20.4675898271715,1,32,32,1,3,40.1533333333333,40.1533333333333,1
200,"spline",3,3,9.02333333333333,3.52229092116671,9.02333333333333,3.52229092116671,1,26,26,4.44994458810491,3,40.1533333333333,9.02333333333333,4.44994458810491
200,"chebyshev",3,3,7.97,3.41736740781555,7.97,3.41736740781555,1,27.3333333333333,27.3333333333333,5.03805938937683,3,40.1533333333333,7.97,5.03805938937683
400,"reference",3,1,247.826666666667,136.271172789161,192.84,NA,0.333333333333333,52,52,1,1,192.84,192.84,1
400,"spline",3,3,11.9066666666667,1.63787463907749,11.9066666666667,1.63787463907749,1,16.6666666666667,16.6666666666667,20.8141097424412,1,192.84,13.73,14.0451565914057
400,"chebyshev",3,3,9.3533333333333,0.417891532976354,9.3533333333333,0.417891532976354,1,15.6666666666667,15.6666666666667,26.4960798289381,1,192.84,9.73999999999995,19.7987679671459
800,"reference",3,0,562.7,305.472423796323,NA,NA,0,NA,NA,1,0,NA,NA,1
800,"spline",3,3,23.79,2.50033997688302,23.79,2.50033997688302,1,16,16,23.6527952921395,0,NA,NA,NA
800,"chebyshev",3,3,16.9433333333333,5.58107815151635,16.9433333333333,5.58107815151635,1,16,16,33.2107023411372,0,NA,NA,NA
