"region","truncation_level","n","mean_abs_diff","median_abs_diff","max_abs_diff","share_gt_1e6","share_gt_1e4"
"interior_stable",300,150,0,0,0,0,0
"transition",300,150,0,0,0,0,0
"low_separation",300,150,0,0,0,0,0
"high_dependence",300,150,2.15119165703233e-06,0,0.000181796325797734,0.0266666666666667,0.00666666666666667
"high_t_low_q",300,150,0.000646888737939548,0,0.0294738479046117,0.173333333333333,0.153333333333333
"interior_stable",400,150,0,0,0,0,0
"transition",400,150,0,0,0,0,0
"low_separation",400,150,0,0,0,0,0
"high_dependence",400,150,2.3043841016109e-08,0,2.27425476140297e-06,0.00666666666666667,0
"high_t_low_q",400,150,4.03118151704381e-05,0,0.00270625510389166,0.126666666666667,0.0533333333333333
"interior_stable",500,150,0,0,0,0,0
"transition",500,150,0,0,0,0,0
"low_separation",500,150,0,0,0,0,0
"high_dependence",500,150,1.59497777948066e-11,0,2.39246666922099e-09,0,0
"high_t_low_q",500,150,1.21725843609255e-06,0,9.58890170537074e-05,0.06,0
"interior_stable",700,150,0,0,0,0,0
"transition",700,150,0,0,0,0,0
"low_separation",700,150,0,0,0,0,0
"high_dependence",700,150,0,0,0,0,0
"high_t_low_q",700,150,1.03582517378224e-09,0,8.93056650852486e-08,0,0
"interior_stable",900,150,0,0,0,0,0
"transition",900,150,0,0,0,0,0
"low_separation",900,150,0,0,0,0,0
"high_dependence",900,150,0,0,0,0,0
"high_t_low_q",900,150,0,0,0,0,0
